model_bb,bb_num,model_rk,rk_cat,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,dataset,model,approx,filter_key
XGB,2,RK,C2,0.9907407407407408,0.8796296296296297,0.9904761904761904,0.8890977443609023,0.9809523809523808,0.7467532467532467,0.6267555968403127,0.3161988462539565,0.9904761904761904,0.8890977443609023,cylinder-bands,XGB_2,RK_C2,cylinder-bands_XGB_2
XGB,2,RK,Corr,0.8425925925925926,0.8148148148148148,0.834126984126984,0.8150375939849623,0.6736,0.6081277213352685,0.24426951266661903,0.19673711652714387,0.834126984126984,0.8150375939849623,cylinder-bands,XGB_2,RK_Corr,cylinder-bands_XGB_2
XGB,2,RK,Prec,0.9976851851851852,0.8703703703703703,0.9972222222222222,0.8458646616541354,0.9952343129467832,0.7087827426810478,0.6640742599841563,0.2635103625307451,0.9972222222222222,0.8458646616541354,cylinder-bands,XGB_2,RK_Prec,cylinder-bands_XGB_2
RF,0,RK,C2,0.9907407407407408,0.8703703703703703,0.9904761904761904,0.8762541806020068,0.9809523809523808,0.7281553398058253,0.6267555968403127,0.2954031428500431,0.9904761904761904,0.8762541806020068,cylinder-bands,RF_0,RK_C2,cylinder-bands_RF_0
RF,0,RK,Corr,0.8425925925925926,0.7685185185185185,0.834126984126984,0.7630992196209587,0.6736,0.5119305856832972,0.24426951266661903,0.13581833163220686,0.834126984126984,0.7630992196209587,cylinder-bands,RF_0,RK_Corr,cylinder-bands_RF_0
RF,0,RK,Prec,0.9976851851851852,0.8425925925925926,0.9972222222222222,0.8154960981047937,0.9952343129467832,0.6490825688073394,0.6640742599841563,0.21932836706308528,0.9972222222222222,0.8154960981047937,cylinder-bands,RF_0,RK_Prec,cylinder-bands_RF_0
SVC,1,RK,C2,0.7893518518518519,0.8240740740740741,0.7988494370901893,0.8478618421052632,0.551355792933443,0.6225165562913908,0.166179857160398,0.22484351111580503,0.7988494370901893,0.8478618421052632,cylinder-bands,SVC_1,RK_C2,cylinder-bands_SVC_1
SVC,1,RK,Corr,0.8032407407407407,0.7592592592592593,0.8051094890510949,0.765625,0.5732415973223002,0.4792284866468842,0.17449101942016915,0.12453294524504406,0.8051094890510949,0.765625,cylinder-bands,SVC_1,RK_Corr,cylinder-bands_SVC_1
SVC,1,RK,Prec,0.7916666666666666,0.7592592592592593,0.8005443523444266,0.7203947368421053,0.5554844168019573,0.43295638126009695,0.16824723263821362,0.09070809999954112,0.8005443523444266,0.7203947368421053,cylinder-bands,SVC_1,RK_Prec,cylinder-bands_SVC_1
XGB,2,RK,C2,0.9846153846153848,0.9649122807017544,0.9794428862825088,0.9646401985111664,0.9659150498164656,0.9292803970223324,0.5691594668951456,0.5374300470691735,0.9794428862825088,0.9646401985111664,wdbc,XGB_2,RK_C2,wdbc_XGB_2
XGB,2,RK,Corr,0.9802197802197802,0.9824561403508772,0.9760645079041306,0.9823200992555832,0.9563046192259675,0.9646401985111662,0.5499273923327848,0.6010440844072392,0.9760645079041306,0.9823200992555832,wdbc,XGB_2,RK_Corr,wdbc_XGB_2
XGB,2,RK,Prec,0.9934065934065934,0.9473684210526316,0.9905660377358492,0.9469602977667494,0.9854348730753224,0.8939205955334988,0.6102038810809998,0.4833174576208728,0.9905660377358492,0.9469602977667494,wdbc,XGB_2,RK_Prec,wdbc_XGB_2
RF,2,RK,C2,0.9846153846153848,0.9649122807017544,0.9794428862825088,0.9646401985111664,0.9659150498164656,0.9292803970223324,0.5691594668951456,0.5374300470691735,0.9794428862825088,0.9646401985111664,wdbc,RF_2,RK_C2,wdbc_RF_2
RF,2,RK,Corr,0.9802197802197802,0.9824561403508772,0.9760645079041306,0.9823200992555832,0.9563046192259675,0.9646401985111662,0.5499273923327848,0.6010440844072392,0.9760645079041306,0.9823200992555832,wdbc,RF_2,RK_Corr,wdbc_RF_2
RF,2,RK,Prec,0.9934065934065934,0.9473684210526316,0.9905660377358492,0.9469602977667494,0.9854348730753224,0.8939205955334988,0.6102038810809998,0.4833174576208728,0.9905660377358492,0.9469602977667494,wdbc,RF_2,RK_Prec,wdbc_RF_2
SVC,1,RK,C2,0.9714285714285714,0.9298245614035088,0.966133031248664,0.9337121212121212,0.9364995866837004,0.8576779026217228,0.5147280893774949,0.43999811867484495,0.966133031248664,0.9337121212121212,wdbc,SVC_1,RK_C2,wdbc_SVC_1
SVC,1,RK,Corr,0.967032967032967,0.9473684210526316,0.9627773265506776,0.9517045454545454,0.9269514401001808,0.8932584269662921,0.500533369976369,0.4913349906818855,0.9627773265506776,0.9517045454545454,wdbc,SVC_1,RK_Corr,wdbc_SVC_1
SVC,1,RK,Prec,0.9714285714285714,0.9298245614035088,0.967639892275467,0.9337121212121212,0.9366912480868236,0.8576779026217228,0.515472619483904,0.43999811867484495,0.967639892275467,0.9337121212121212,wdbc,SVC_1,RK_Prec,wdbc_SVC_1
XGB,1,RK,C2,0.9791666666666666,0.8833333333333333,0.9788309508338748,0.8865874725176113,0.9749887970653522,0.8599533177725909,1.7030774836786775,1.419601700571142,0.9788309508338748,0.8865874725176113,kdd-synthetic-control,XGB_1,RK_C2,kdd-synthetic-control_XGB_1
XGB,1,RK,Corr,0.9833333333333332,0.9083333333333332,0.9836859784818284,0.9031724398378724,0.9799943734175236,0.8897611491565057,1.7174205142763024,1.4772800684771703,0.9836859784818284,0.9031724398378724,kdd-synthetic-control,XGB_1,RK_Corr,kdd-synthetic-control_XGB_1
