attribute,importance,model,method,dataset
press,0.0,RF_0,0,cylinder-bands
unit_number,0.0,RF_0,0,cylinder-bands
plating_tank,0.0,RF_0,0,cylinder-bands
proof_cut,0.0,RF_0,0,cylinder-bands
viscosity,0.0009259259259259,RF_0,0,cylinder-bands
caliper,0.0,RF_0,0,cylinder-bands
ink_temperature,0.0034722222222222,RF_0,0,cylinder-bands
humifity,0.0041666666666666,RF_0,0,cylinder-bands
roughness,0.0,RF_0,0,cylinder-bands
blade_pressure,0.0004629629629629,RF_0,0,cylinder-bands
varnish_pct,0.0,RF_0,0,cylinder-bands
press_speed,0.0034722222222222,RF_0,0,cylinder-bands
ink_pct,0.0,RF_0,0,cylinder-bands
solvent_pct,0.0,RF_0,0,cylinder-bands
esa_voltage,0.0011574074074073,RF_0,0,cylinder-bands
esa_amperage,0.0,RF_0,0,cylinder-bands
wax,0.0,RF_0,0,cylinder-bands
hardener,0.0,RF_0,0,cylinder-bands
roller_durometer,0.0,RF_0,0,cylinder-bands
current_density,0.0,RF_0,0,cylinder-bands
anode_space_ratio,0.0004629629629629,RF_0,0,cylinder-bands
chrome_content,0.0,RF_0,0,cylinder-bands
grain_screened_no,0.0,RF_0,0,cylinder-bands
grain_screened_yes,0.0,RF_0,0,cylinder-bands
ink_color_key,0.0,RF_0,0,cylinder-bands
proof_on_ctd_ink_no,0.0,RF_0,0,cylinder-bands
proof_on_ctd_ink_yes,0.0,RF_0,0,cylinder-bands
blade_mfg_benton,0.0,RF_0,0,cylinder-bands
blade_mfg_uddeholm,0.0,RF_0,0,cylinder-bands
cylinder_division_gallatin,0.0,RF_0,0,cylinder-bands
paper_type_coated,0.0,RF_0,0,cylinder-bands
paper_type_super,0.0,RF_0,0,cylinder-bands
paper_type_uncoated,0.0,RF_0,0,cylinder-bands
ink_type_coated,0.0,RF_0,0,cylinder-bands
ink_type_cover,0.0,RF_0,0,cylinder-bands
ink_type_uncoated,0.0,RF_0,0,cylinder-bands
direct_steam_no,0.0,RF_0,0,cylinder-bands
direct_steam_yes,0.0,RF_0,0,cylinder-bands
solvent_type_line,0.0,RF_0,0,cylinder-bands
solvent_type_naptha,0.0,RF_0,0,cylinder-bands
solvent_type_xylol,0.0,RF_0,0,cylinder-bands
type_on_cylinder_no,0.0,RF_0,0,cylinder-bands
type_on_cylinder_yes,0.0,RF_0,0,cylinder-bands
press_type_albert70,0.0,RF_0,0,cylinder-bands
press_type_motter70,0.0,RF_0,0,cylinder-bands
press_type_motter94,0.0,RF_0,0,cylinder-bands
press_type_woodhoe70,0.0023148148148147,RF_0,0,cylinder-bands
cylinder_size_catalog,0.0,RF_0,0,cylinder-bands
cylinder_size_spiegel,0.0,RF_0,0,cylinder-bands
cylinder_size_tabloid,0.0,RF_0,0,cylinder-bands
paper_mill_location_canadian,0.0,RF_0,0,cylinder-bands
paper_mill_location_mideuropean,0.0,RF_0,0,cylinder-bands
paper_mill_location_northus,0.0,RF_0,0,cylinder-bands
paper_mill_location_scandanavian,0.0,RF_0,0,cylinder-bands
paper_mill_location_southus,0.0,RF_0,0,cylinder-bands
press,0.0201388888888889,SVC_1,0,cylinder-bands
unit_number,0.0083333333333333,SVC_1,0,cylinder-bands
plating_tank,0.0067129629629629,SVC_1,0,cylinder-bands
proof_cut,-0.0016203703703703,SVC_1,0,cylinder-bands
viscosity,0.0050925925925926,SVC_1,0,cylinder-bands
caliper,0.0023148148148148,SVC_1,0,cylinder-bands
ink_temperature,0.005324074074074,SVC_1,0,cylinder-bands
humifity,0.0034722222222222,SVC_1,0,cylinder-bands
roughness,0.0030092592592592,SVC_1,0,cylinder-bands
blade_pressure,0.0342592592592592,SVC_1,0,cylinder-bands
varnish_pct,0.1078703703703703,SVC_1,0,cylinder-bands
press_speed,0.0611111111111111,SVC_1,0,cylinder-bands
ink_pct,0.0152777777777777,SVC_1,0,cylinder-bands
solvent_pct,0.0268518518518518,SVC_1,0,cylinder-bands
esa_voltage,0.0074074074074074,SVC_1,0,cylinder-bands
esa_amperage,0.0020833333333333,SVC_1,0,cylinder-bands
wax,0.0011574074074073,SVC_1,0,cylinder-bands
hardener,0.0104166666666666,SVC_1,0,cylinder-bands
