model_bb,bb_num,model_rk,rk_cat,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_rule_quality,rules_count,dataset,model,approx,filter_key
XGB,2,RK,C2,0.9907407407407408,0.8796296296296297,0.9904761904761904,0.8890977443609023,0.9809523809523808,0.7467532467532467,0.6267555968403127,0.3161988462539565,0.9904761904761904,0.8890977443609023,0.05799010217113666,0.9983237430537364,0.555873524189353,58,cylinder-bands,XGB_2,RK_C2,cylinder-bands_XGB_2
XGB,2,RK,Corr,0.8425925925925926,0.8148148148148148,0.834126984126984,0.8150375939849623,0.6736,0.6081277213352685,0.24426951266661903,0.19673711652714387,0.834126984126984,0.8150375939849623,0.3508986928104575,0.8317505920537867,0.5122780700519769,17,cylinder-bands,XGB_2,RK_Corr,cylinder-bands_XGB_2
XGB,2,RK,Prec,0.9976851851851852,0.8703703703703703,0.9972222222222222,0.8458646616541354,0.9952343129467832,0.7087827426810478,0.6640742599841563,0.2635103625307451,0.9972222222222222,0.8458646616541354,0.0446645415907711,1,1,61,cylinder-bands,XGB_2,RK_Prec,cylinder-bands_XGB_2
RF,0,RK,C2,0.9907407407407408,0.8703703703703703,0.9904761904761904,0.8762541806020068,0.9809523809523808,0.7281553398058253,0.6267555968403127,0.2954031428500431,0.9904761904761904,0.8762541806020068,0.05799010217113666,0.9983237430537364,0.555873524189353,58,cylinder-bands,RF_0,RK_C2,cylinder-bands_RF_0
RF,0,RK,Corr,0.8425925925925926,0.7685185185185185,0.834126984126984,0.7630992196209587,0.6736,0.5119305856832972,0.24426951266661903,0.13581833163220686,0.834126984126984,0.7630992196209587,0.3508986928104575,0.8317505920537867,0.5122780700519769,17,cylinder-bands,RF_0,RK_Corr,cylinder-bands_RF_0
RF,0,RK,Prec,0.9976851851851852,0.8425925925925926,0.9972222222222222,0.8154960981047937,0.9952343129467832,0.6490825688073394,0.6640742599841563,0.21932836706308528,0.9972222222222222,0.8154960981047937,0.0446645415907711,1,1,61,cylinder-bands,RF_0,RK_Prec,cylinder-bands_RF_0
SVC,1,RK,C2,0.9907407407407408,0.8425925925925926,0.9873561796362738,0.8248355263157895,0.9785378940308518,0.6325060048038431,0.5722060613568627,0.20024536102664856,0.9873561796362738,0.8248355263157895,0.08215130023640663,0.9983896573117768,0.5762744214624158,47,cylinder-bands,SVC_1,RK_C2,cylinder-bands_SVC_1
SVC,1,RK,Corr,0.8680555555555556,0.8518518518518519,0.8017444018310034,0.768092105263158,0.664541441883276,0.6014760147601476,0.24254463461123552,0.19047416803587405,0.8017444018310034,0.768092105263158,0.3307098765432099,0.8918084220872354,0.5712099208020943,15,cylinder-bands,SVC_1,RK_Corr,cylinder-bands_SVC_1
SVC,1,RK,Prec,1,0.8703703703703703,1,0.8445723684210527,1,0.6891447368421053,0.6246868915804531,0.2357369773370485,1,0.8445723684210527,0.05885631001371743,0.9983130128057665,0.9983130128057665,54,cylinder-bands,SVC_1,RK_Prec,cylinder-bands_SVC_1
XGB,2,RK,C2,0.9846153846153848,0.9649122807017544,0.9794428862825088,0.9646401985111664,0.9659150498164656,0.9292803970223324,0.5691594668951456,0.5374300470691735,0.9794428862825088,0.9646401985111664,0.4435897435897435,0.9948561074459532,0.9059134046175296,12,wdbc,XGB_2,RK_C2,wdbc_XGB_2
XGB,2,RK,Corr,0.9802197802197802,0.9824561403508772,0.9760645079041306,0.9823200992555832,0.9563046192259675,0.9646401985111662,0.5499273923327848,0.6010440844072392,0.9760645079041306,0.9823200992555832,0.45149136577708,0.9603037166912768,0.8673064368652252,7,wdbc,XGB_2,RK_Corr,wdbc_XGB_2
XGB,2,RK,Prec,0.9934065934065934,0.9473684210526316,0.9905660377358492,0.9469602977667494,0.9854348730753224,0.8939205955334988,0.6102038810809998,0.4833174576208728,0.9905660377358492,0.9469602977667494,0.2815018315018315,1,1,24,wdbc,XGB_2,RK_Prec,wdbc_XGB_2
RF,2,RK,C2,0.9846153846153848,0.9649122807017544,0.9794428862825088,0.9646401985111664,0.9659150498164656,0.9292803970223324,0.5691594668951456,0.5374300470691735,0.9794428862825088,0.9646401985111664,0.4435897435897435,0.9948561074459532,0.9059134046175296,12,wdbc,RF_2,RK_C2,wdbc_RF_2
RF,2,RK,Corr,0.9802197802197802,0.9824561403508772,0.9760645079041306,0.9823200992555832,0.9563046192259675,0.9646401985111662,0.5499273923327848,0.6010440844072392,0.9760645079041306,0.9823200992555832,0.45149136577708,0.9603037166912768,0.8673064368652252,7,wdbc,RF_2,RK_Corr,wdbc_RF_2
RF,2,RK,Prec,0.9934065934065934,0.9473684210526316,0.9905660377358492,0.9469602977667494,0.9854348730753224,0.8939205955334988,0.6102038810809998,0.4833174576208728,0.9905660377358492,0.9469602977667494,0.2815018315018315,1,1,24,wdbc,RF_2,RK_Prec,wdbc_RF_2
SVC,1,RK,C2,0.9868131868131867,0.9385964912280702,0.9823985807720258,0.9412878787878788,0.9706476862205402,0.8751173708920188,0.5751217317348145,0.4593461444245896,0.9823985807720258,0.9412878787878788,0.4485347985347984,0.9960146733732568,0.9134073895027366,12,wdbc,SVC_1,RK_C2,wdbc_SVC_1
SVC,1,RK,Corr,0.9692307692307692,0.9298245614035088,0.9599345958192622,0.9337121212121212,0.9310934187183592,0.8576779026217228,0.5079182773132663,0.43999811867484495,0.9599345958192622,0.9337121212121212,0.4621664050235479,0.961920902098392,0.8928257381872479,7,wdbc,SVC_1,RK_Corr,wdbc_SVC_1
SVC,1,RK,Prec,0.9934065934065934,0.9298245614035088,0.9904458598726116,0.9337121212121212,0.9853460584654692,0.8576779026217228,0.6073854535375618,0.43999811867484495,0.9904458598726116,0.9337121212121212,0.26172161172161174,1,1,24,wdbc,SVC_1,RK_Prec,wdbc_SVC_1
XGB,1,RK,C2,0.9791666666666666,0.8833333333333333,0.9788309508338748,0.8865874725176113,0.9749887970653522,0.8599533177725909,1.7030774836786775,1.419601700571142,0.9788309508338748,0.8865874725176113,0.07916666666666666,1,0.7357100184363183,34,kdd-synthetic-control,XGB_1,RK_C2,kdd-synthetic-control_XGB_1
XGB,1,RK,Corr,0.9833333333333332,0.9083333333333332,0.9836859784818284,0.9031724398378724,0.9799943734175236,0.8897611491565057,1.7174205142763024,1.4772800684771703,0.9836859784818284,0.9031724398378724,0.14419642857142856,1,0.916087455298182,14,kdd-synthetic-control,XGB_1,RK_Corr,kdd-synthetic-control_XGB_1
XGB,1,RK,Prec,0.9791666666666666,0.8666666666666667,0.979172023825198,0.8674731906492573,0.9749904911763326,0.8398799099324493,1.6926151309688544,1.3866417347687294,0.979172023825198,0.8674731906492573,0.05314465408805032,1,1,53,kdd-synthetic-control,XGB_1,RK_Prec,kdd-synthetic-control_XGB_1
RF,0,RK,C2,0.9791666666666666,0.8833333333333333,0.9788309508338748,0.8865874725176113,0.9749887970653522,0.8599533177725909,1.7030774836786775,1.419601700571142,0.9788309508338748,0.8865874725176113,0.07916666666666666,1,0.7357100184363183,34,kdd-synthetic-control,RF_0,RK_C2,kdd-synthetic-control_RF_0
RF,0,RK,Corr,0.9833333333333332,0.9083333333333332,0.9836859784818284,0.9031724398378724,0.9799943734175236,0.8897611491565057,1.7174205142763024,1.4772800684771703,0.9836859784818284,0.9031724398378724,0.14419642857142856,1,0.916087455298182,14,kdd-synthetic-control,RF_0,RK_Corr,kdd-synthetic-control_RF_0
RF,0,RK,Prec,0.9791666666666666,0.8666666666666667,0.979172023825198,0.8674731906492573,0.9749904911763326,0.8398799099324493,1.6926151309688544,1.3866417347687294,0.979172023825198,0.8674731906492573,0.05314465408805032,1,1,53,kdd-synthetic-control,RF_0,RK_Prec,kdd-synthetic-control_RF_0
SVC,0,RK,C2,0.9854166666666668,0.8916666666666667,0.985466128521684,0.8878129627136896,0.9824960798512168,0.8695761223977928,1.726264024069662,1.4172465894266115,0.985466128521684,0.8878129627136896,0.08261904761904762,1,0.7464762080474933,35,kdd-synthetic-control,SVC_0,RK_C2,kdd-synthetic-control_SVC_0
SVC,0,RK,Corr,0.9875,0.9,0.9875237416904084,0.8984836077833117,0.9849967961908532,0.8796489761805265,1.7290460039450863,1.4395208298202735,0.9875237416904084,0.8984836077833117,0.1455357142857143,1,0.9194827160532172,14,kdd-synthetic-control,SVC_0,RK_Corr,kdd-synthetic-control_SVC_0
SVC,0,RK,Prec,0.9770833333333332,0.875,0.9768636199191756,0.8801365893420678,0.9724906869513116,0.8501498501498501,1.6842279892805534,1.4237180393325657,0.9768636199191756,0.8801365893420678,0.05227987421383649,1,1,53,kdd-synthetic-control,SVC_0,RK_Prec,kdd-synthetic-control_SVC_0
XGB,2,RK,C2,0.904,0.848,0.6887922102987852,0.6405309250136836,0.8230062390300742,0.7135102533172497,0.542528575908496,0.3611171684656917,0.6887922102987852,0.6405309250136836,0.12318181818181818,0.8314122053227199,0.4909459101765496,44,balance-scale,XGB_2,RK_C2,balance-scale_XGB_2
XGB,2,RK,Corr,0.86,0.832,0.6425111028033942,0.5871647509578545,0.7416344940096111,0.6813160131115698,0.40974747483021257,0.31629319002157136,0.6425111028033942,0.5871647509578545,0.3078095238095238,0.6657242713041708,0.40003130347422894,21,balance-scale,XGB_2,RK_Corr,balance-scale_XGB_2
XGB,2,RK,Prec,0.9,0.904,0.6639820027231337,0.6803776683087027,0.8146418138410665,0.8194076571153384,0.5257729127203017,0.5209741176621554,0.6639820027231337,0.6803776683087027,0.10046666666666666,0.8721830444678311,0.8721830444678311,60,balance-scale,XGB_2,RK_Prec,balance-scale_XGB_2
RF,2,RK,C2,0.904,0.84,0.6887922102987852,0.5987179487179487,0.8230062390300742,0.6982498491249245,0.542528575908496,0.3548881998762678,0.6887922102987852,0.5987179487179487,0.12318181818181818,0.8314122053227199,0.4909459101765496,44,balance-scale,RF_2,RK_C2,balance-scale_RF_2
RF,2,RK,Corr,0.86,0.824,0.6425111028033942,0.5858974358974359,0.7416344940096111,0.6657754010695187,0.40974747483021257,0.3013551923888746,0.6425111028033942,0.5858974358974359,0.3078095238095238,0.6657242713041708,0.40003130347422894,21,balance-scale,RF_2,RK_Corr,balance-scale_RF_2
