model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
RF_0,0.9930555555555556,0.8796296296296297,0.9940476190476192,0.8890746934225195,0.985748218527316,0.7489270386266094,0.6437583216773175,0.3198255756727479,0.9940476190476192,0.8890746934225195,0.1,1.0,2.48,432,cylinder-bands
SVC_1,0.9953703703703703,0.8981481481481481,0.9946554497092664,0.8914473684210527,0.9893108994185328,0.7622097678142514,0.5955165191243775,0.3019610371489323,0.9946554497092664,0.8914473684210527,0.16,1.0,2.73,432,cylinder-bands
XGB_2,0.9930555555555556,0.8703703703703703,0.9940476190476192,0.8819548872180452,0.985748218527316,0.7288378766140602,0.6437583216773175,0.3030738112446041,0.9940476190476192,0.8819548872180452,0.1,1.0,2.48,432,cylinder-bands
RF_2,0.9934065934065934,0.9649122807017544,0.99202150263471,0.9646401985111664,0.9854773329361322,0.9292803970223324,0.6074270647651263,0.5374300470691735,0.99202150263471,0.9646401985111664,0.83,1.0,2.77,455,wdbc
SVC_1,0.9912087912087912,0.9298245614035088,0.990274868550421,0.9337121212121212,0.980549737100842,0.8576779026217228,0.5944094617818405,0.4399981186748449,0.990274868550421,0.9337121212121212,0.85,1.0,2.8,455,wdbc
XGB_2,0.9934065934065934,0.9649122807017544,0.99202150263471,0.9646401985111664,0.9854773329361322,0.9292803970223324,0.6074270647651263,0.5374300470691735,0.99202150263471,0.9646401985111664,0.83,1.0,2.77,455,wdbc
RF_0,1.0,0.8916666666666667,1.0,0.8924999252179896,1.0,0.8696524064171123,1.7911844277746278,1.4017717320064027,1.0,0.8924999252179896,0.56,1.0,2.35,480,kdd-synthetic-control
SVC_0,1.0,0.9083333333333332,1.0,0.9063888141068784,1.0,0.8895767107244437,1.7914465825634258,1.4398612709502356,1.0,0.9063888141068784,0.57,1.0,2.36,480,kdd-synthetic-control
XGB_1,1.0,0.8916666666666667,1.0,0.8924999252179896,1.0,0.8696524064171123,1.7911844277746278,1.4017717320064027,1.0,0.8924999252179896,0.56,1.0,2.35,480,kdd-synthetic-control
RF_2,0.91,0.856,0.7078416518459408,0.6493589743589744,0.834578284907658,0.7309577902666506,0.5546727039709212,0.3948987999560994,0.7078416518459408,0.6493589743589744,0.23,0.94,3.16,500,balance-scale
SVC_1,0.892,0.72,0.7481271043771045,0.5758024691358025,0.8131643046944198,0.527333621434745,0.6219499027407153,0.3225240873699299,0.7481271043771045,0.5758024691358025,0.19,0.92,3.44,500,balance-scale
XGB_2,0.91,0.84,0.7078416518459408,0.5932950191570882,0.834578284907658,0.6988677427125993,0.5546727039709212,0.3470922698346326,0.7078416518459408,0.5932950191570882,0.23,0.94,3.16,500,balance-scale
RF_1,0.9652014652014652,0.9197080291970804,0.986856213519212,0.9219715956558062,0.9618216947281258,0.9118197776477472,2.5436614285674928,2.413396129985905,0.986856213519212,0.9219715956558062,0.69,0.99,2.68,546,soybean
SVC_0,0.9945054945054944,0.9562043795620438,0.9951754385964912,0.962061403508772,0.9939373750832778,0.9517123891206016,2.59900754423653,2.4734029594453446,0.9951754385964912,0.962061403508772,0.74,1.0,2.74,546,soybean
XGB_0,0.9761904761904762,0.9343065693430656,0.9906293360704036,0.924310776942356,0.9738668453549036,0.9278905199134452,2.5730669327324605,2.454209681878911,0.9906293360704036,0.924310776942356,0.7,0.99,2.62,546,soybean
RF_2,0.9112318840579712,0.9347826086956522,0.912818967249347,0.9356060606060606,0.8200686517123015,0.8695652173913043,0.3897996115975556,0.4550596506677944,0.912818967249347,0.9356060606060606,0.63,0.96,4.64,552,credit-a
SVC_0,1.0,1.0,1.0,1.0,1.0,1.0,0.4534650765650603,0.4505612088663049,1.0,1.0,1.0,1.0,1.0,552,credit-a
XGB_2,0.9112318840579712,0.8695652173913043,0.912818967249347,0.8746008090270385,0.8200686517123015,0.7391304347826086,0.3897996115975556,0.314476311198005,0.912818967249347,0.8746008090270385,0.63,0.96,4.64,552,credit-a
RF_1,0.9713774597495528,0.9785714285714284,0.9756142126271996,0.9783625730994152,0.938018018018018,0.9511627906976744,0.5340118946594841,0.5296214269177447,0.9756142126271996,0.9783625730994152,0.85,0.98,2.63,559,breast-w
SVC_0,0.9946332737030412,0.9714285714285714,0.9957865168539326,0.967251461988304,0.9884340839339288,0.9345029239766082,0.6271834729977245,0.5002118017299059,0.9957865168539326,0.967251461988304,0.87,1.0,2.67,559,breast-w
XGB_0,0.9767441860465116,0.9785714285714284,0.980887343298651,0.9845360824742267,0.949689496894969,0.9506114769520224,0.55458548893174,0.5375807634141451,0.980887343298651,0.9845360824742267,0.86,0.98,2.64,559,breast-w
RF_2,0.9104234527687296,0.922077922077922,0.8918021846791472,0.923469387755102,0.798544413291177,0.8341708542713568,0.3441068530515238,0.3950783336882115,0.8918021846791472,0.923469387755102,0.18,0.99,3.77,614,diabetes
SVC_1,0.9641693811074918,0.9025974025974026,0.954241192411924,0.8757575757575757,0.9084823848238482,0.779874213836478,0.4304622367796192,0.3351076731939636,0.954241192411924,0.8757575757575757,0.68,0.99,3.73,614,diabetes
XGB_0,0.9234527687296415,0.9025974025974026,0.9066028473244968,0.8840425531914894,0.8211776078523715,0.7895024603608529,0.3562448952070081,0.3537708099251427,0.9066028473244968,0.8840425531914894,0.38,0.99,3.97,614,diabetes
