model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
RF_0,0.9097222222222222,0.6944444444444444,0.909126984126984,0.677257525083612,0.8150197628458498,0.3486842105263157,0.37970793687133,0.0609483928468375,0.909126984126984,0.677257525083612,0.06,0.95,3.89,432,cylinder-bands
SVC_1,0.8657407407407407,0.8055555555555556,0.8469627613509836,0.7623355263157895,0.6912232272693664,0.529460580912863,0.2430677240733444,0.134806963453228,0.8469627613509836,0.7623355263157895,0.2,0.94,3.0,432,cylinder-bands
XGB_2,0.9907407407407408,0.8240740740740741,0.9888888888888888,0.8281954887218045,0.9808917197452228,0.6298701298701299,0.6314985477290034,0.2146509382644069,0.9888888888888888,0.8281954887218045,0.05,0.99,4.01,432,cylinder-bands
RF_2,0.9582417582417584,0.9912280701754386,0.9533507564167942,0.9919354838709676,0.9080231085955038,0.9823474759987612,0.4750878377624888,0.6457791212799504,0.9533507564167942,0.9919354838709676,0.75,0.99,2.59,455,wdbc
SVC_1,0.9516483516483516,0.9210526315789472,0.9404843329201042,0.9232954545454546,0.8917182294145645,0.8394366197183099,0.4507087283676692,0.4127898775649607,0.9404843329201042,0.9232954545454546,0.78,0.98,1.71,455,wdbc
XGB_2,0.9428571428571428,0.956140350877193,0.9226053884072752,0.9519230769230768,0.8705519324200114,0.9109096592685214,0.4341771110452567,0.5332871387167902,0.9226053884072752,0.9519230769230768,0.61,0.97,1.99,455,wdbc
RF_0,0.9625,0.825,0.9621077139541346,0.8287581699346404,0.9549887471867968,0.7892624184646262,1.6152213394129338,1.229776081543364,0.9621077139541346,0.8287581699346404,0.3,0.96,3.44,480,kdd-synthetic-control
SVC_0,0.8625,0.8083333333333333,0.8640231152530348,0.7967062263501892,0.8349888273685198,0.7691728694488584,1.4353235401883906,1.3716912768651883,0.8640231152530348,0.7967062263501892,0.55,0.93,4.24,480,kdd-synthetic-control
XGB_1,0.9145833333333332,0.8666666666666667,0.9142757716011256,0.8701941340991013,0.8974599452911294,0.8398665554628858,1.4571037080057945,1.3320758371243229,0.9142757716011256,0.8701941340991013,0.39,0.94,3.3,480,kdd-synthetic-control
RF_2,0.894,0.816,0.703613100633962,0.6147435897435897,0.8062638905135103,0.6529873264936632,0.5061753494705152,0.313134951424414,0.703613100633962,0.6147435897435897,0.24,0.92,3.2,500,balance-scale
SVC_1,0.864,0.784,0.7010346520763188,0.6368606701940035,0.7637707742760269,0.6332717592089536,0.5509002053914308,0.464289430203805,0.7010346520763188,0.6368606701940035,0.21,0.89,3.47,500,balance-scale
XGB_2,0.896,0.832,0.6977273900496129,0.6288451012588944,0.8096534961528044,0.6852895336290612,0.5139938030119429,0.3353157313204933,0.6977273900496129,0.6288451012588944,0.24,0.92,3.15,500,balance-scale
RF_1,0.7234432234432234,0.7299270072992701,0.6733910378362066,0.6440874914559125,0.6939564131213506,0.7022963528513537,1.9265507124636685,2.050670382573972,0.6733910378362066,0.6440874914559125,0.76,0.68,3.71,546,soybean
SVC_0,0.5897435897435898,0.6277372262773723,0.4190059037969255,0.419078947368421,0.5348738153551271,0.5843050928129463,1.4620172800322582,1.7323254698202892,0.4190059037969255,0.419078947368421,0.66,0.58,3.64,546,soybean
XGB_0,0.6007326007326007,0.6058394160583942,0.6178599522252772,0.6075871496924128,0.5575775822656364,0.5641312673068992,1.7829720376625788,1.776265234635564,0.6178599522252772,0.6075871496924128,0.91,0.56,3.24,546,soybean
RF_2,0.8713768115942029,0.8985507246376812,0.8799879445449066,0.9008838383838385,0.7432793585914165,0.7977386934673367,0.3268699977763073,0.379043326961534,0.8799879445449066,0.9008838383838385,0.55,0.95,3.2,552,credit-a
SVC_0,1.0,1.0,1.0,1.0,1.0,1.0,0.4534650765650603,0.4505612088663049,1.0,1.0,1.0,1.0,1.0,552,credit-a
XGB_2,0.9003623188405797,0.8768115942028986,0.905384769941732,0.8845007451564828,0.7994927880805198,0.754858934169279,0.3751890740788121,0.3409661859888797,0.905384769941732,0.8845007451564828,0.6,0.94,3.6,552,credit-a
RF_1,0.966010733452594,1.0,0.9656139315230224,1.0,0.9257952505047824,1.0,0.5048482270459529,0.6279415887399057,0.9656139315230224,1.0,0.84,0.98,1.89,559,breast-w
SVC_0,0.9946332737030412,0.9571428571428572,0.9957865168539326,0.9508771929824562,0.9884340839339288,0.9017543859649124,0.6271834729977245,0.4540860890735205,0.9957865168539326,0.9508771929824562,0.83,1.0,3.04,559,breast-w
