model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
RF_0,0.9629629629629628,0.8888888888888888,0.9603174603174602,0.8907469342251951,0.9235668789808916,0.7644492911668483,0.52086708768072,0.3236327744419329,0.9603174603174602,0.8907469342251951,0.08,0.98,2.77,432,cylinder-bands
XGB_2,0.988425925925926,0.9166666666666666,0.9884920634920636,0.9176691729323307,0.9762093576526566,0.8205317577548006,0.6168523493656817,0.377115411581553,0.9884920634920636,0.9176691729323307,0.07,0.98,3.06,432,cylinder-bands
RF_2,0.9714285714285714,0.9912280701754386,0.9678522862485126,0.9919354838709676,0.9370684427232394,0.9823474759987612,0.5181800730523549,0.6457791212799504,0.9678522862485126,0.9919354838709676,0.79,0.99,2.14,455,wdbc
XGB_2,0.9626373626373628,0.956140350877193,0.950907275199728,0.9534739454094292,0.9164876215976938,0.9111872857588034,0.489808990191181,0.5146612492099635,0.950907275199728,0.9534739454094292,0.75,0.99,2.08,455,wdbc
RF_0,0.9770833333333332,0.9,0.9776141603450842,0.8921998624011008,0.9724969918584844,0.8792756539235412,1.7063057449658567,1.4683903912419825,0.9776141603450842,0.8921998624011008,0.65,0.99,3.16,480,kdd-synthetic-control
XGB_1,0.9875,0.8916666666666667,0.9877172758610792,0.8867809709696236,0.9849980466206536,0.8696197241955704,1.735704874712277,1.4417858475322964,0.9877172758610792,0.8867809709696236,0.66,0.98,2.92,480,kdd-synthetic-control
RF_2,0.922,0.856,0.7092089727288778,0.6128205128205129,0.8564455928797015,0.7309577902666506,0.6043898098552993,0.4059595163597245,0.7092089727288778,0.6128205128205129,0.21,0.92,3.1,500,balance-scale
XGB_2,0.914,0.872,0.6887539049283723,0.6160919540229886,0.8410280677885895,0.7577225923682617,0.5744118918708186,0.4036120255356242,0.6887539049283723,0.6160919540229886,0.21,0.92,3.12,500,balance-scale
RF_1,0.9468864468864469,0.9416058394160584,0.9680200352989032,0.9568504594820384,0.941631616392101,0.9360373504522906,2.465316497637393,2.457193379789018,0.9680200352989032,0.9568504594820384,0.68,0.95,2.44,546,soybean
XGB_0,0.9377289377289376,0.948905109489051,0.9563341022292098,0.9422305764411028,0.9314814678113488,0.9440098085007006,2.426286143199813,2.5045479279536447,0.9563341022292098,0.9422305764411028,0.69,0.94,2.17,546,soybean
RF_2,0.8623188405797102,0.9130434782608696,0.87152903355435,0.9166666666666669,0.7256210022367853,0.8270676691729324,0.3110695562488842,0.4495408644797544,0.87152903355435,0.9166666666666669,0.63,0.93,2.32,552,credit-a
XGB_2,0.8623188405797102,0.8768115942028986,0.87152903355435,0.8896103896103896,0.7256210022367853,0.7572936064556176,0.3110695562488842,0.3900676046096247,0.87152903355435,0.8896103896103896,0.59,0.94,2.79,552,credit-a
RF_1,0.960644007155635,0.9857142857142858,0.9591344802383764,0.983625730994152,0.9139783441985396,0.967251461988304,0.4865401090045136,0.5540554221975349,0.9591344802383764,0.983625730994152,0.8,0.98,1.87,559,breast-w
XGB_0,0.9803220035778176,0.9642857142857144,0.982492918641501,0.9612802685207384,0.9572341653742098,0.916626965221534,0.5608450372413687,0.4691278178408334,0.982492918641501,0.9612802685207384,0.8,0.99,2.08,559,breast-w
RF_2,0.9120521172638436,0.9285714285714286,0.8853453221406578,0.9285714285714286,0.7988228869607427,0.8474148802017655,0.3497999004633563,0.4082507547757149,0.8853453221406578,0.9285714285714286,0.17,0.99,3.5,614,diabetes
XGB_0,0.9201954397394136,0.9090909090909092,0.8972876779577811,0.8893617021276596,0.8114557874287147,0.802925045703839,0.3461206156827022,0.3725317239840834,0.8972876779577811,0.8893617021276596,0.28,0.99,2.93,614,diabetes
