model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
RF_0,1.0,0.8888888888888888,1.0,0.8851727982162765,1.0,0.7618522601984564,0.6791932659915261,0.3158723110590756,1.0,0.8851727982162765,0.07,1.0,2.22,432,cylinder-bands
SVC_1,1.0,0.8333333333333334,1.0,0.8001644736842105,1.0,0.600328947368421,0.6246868915804531,0.1756705730030372,1.0,0.8001644736842105,0.09,1.0,2.15,432,cylinder-bands
XGB_2,1.0,0.8425925925925926,1.0,0.8364661654135338,1.0,0.6610044313146233,0.6791932659915261,0.229980280814628,1.0,0.8364661654135338,0.07,1.0,2.22,432,cylinder-bands
RF_2,1.0,0.9824561403508772,1.0,0.9823200992555832,1.0,0.9646401985111662,0.6471058439335028,0.6010440844072392,1.0,0.9823200992555832,0.48,1.0,1.28,455,wdbc
SVC_1,1.0,0.956140350877193,1.0,0.9621212121212122,1.0,0.911297852474323,0.6443315938557966,0.5353607744485651,1.0,0.9621212121212122,0.51,1.0,1.25,455,wdbc
XGB_2,1.0,0.9824561403508772,1.0,0.9823200992555832,1.0,0.9646401985111662,0.6471058439335028,0.6010440844072392,1.0,0.9823200992555832,0.48,1.0,1.28,455,wdbc
RF_0,1.0,0.85,1.0,0.8546162935044346,1.0,0.8201199200532978,1.7911844277746278,1.3353988001144166,1.0,0.8546162935044346,0.36,1.0,1.64,480,kdd-synthetic-control
SVC_0,1.0,0.8916666666666667,1.0,0.8950574699750228,1.0,0.8699349674837419,1.7914465825634258,1.412113393554463,1.0,0.8950574699750228,0.37,1.0,1.64,480,kdd-synthetic-control
XGB_1,1.0,0.85,1.0,0.8546162935044346,1.0,0.8201199200532978,1.7911844277746278,1.3353988001144166,1.0,0.8546162935044346,0.36,1.0,1.64,480,kdd-synthetic-control
RF_2,0.966,0.904,0.8801924738002774,0.7532051282051282,0.9390724679234465,0.8252359314924851,0.7459316897261801,0.5424159800600517,0.8801924738002774,0.7532051282051282,0.14,0.95,3.16,500,balance-scale
SVC_1,0.958,0.728,0.916365039281706,0.5819753086419753,0.9298896931171712,0.5508349186218559,0.8108863376952733,0.4772229420384212,0.916365039281706,0.5819753086419753,0.11,0.93,3.34,500,balance-scale
XGB_2,0.966,0.824,0.8801924738002774,0.6236726874657909,0.9390724679234465,0.6786256865723969,0.7459316897261801,0.348555874927379,0.8801924738002774,0.6236726874657909,0.14,0.95,3.16,500,balance-scale
RF_1,1.0,0.8978102189781022,1.0,0.9126148705096074,1.0,0.8879149135109864,2.6454131748909493,2.3489962998204432,1.0,0.9126148705096074,0.59,1.0,2.4,546,soybean
SVC_0,1.0,0.948905109489051,1.0,0.9567982456140351,1.0,0.9436445907034142,2.62707020695914,2.447107623915318,1.0,0.9567982456140351,0.64,1.0,2.38,546,soybean
XGB_0,1.0,0.927007299270073,1.0,0.9202860091404984,1.0,0.919915823931724,2.64516722857936,2.416709988247278,1.0,0.9202860091404984,0.62,1.0,2.38,546,soybean
RF_2,0.9981884057971014,0.9347826086956522,0.9984126984126984,0.9343434343434344,0.9963049240902884,0.8692356285533797,0.6714089130091869,0.4512124632966851,0.9984126984126984,0.9343434343434344,0.13,1.0,2.6,552,credit-a
SVC_0,1.0,1.0,1.0,1.0,1.0,1.0,0.4534650765650603,0.4505612088663049,1.0,1.0,1.0,1.0,1.0,552,credit-a
XGB_2,0.9981884057971014,0.8840579710144928,0.9984126984126984,0.8858846071960826,0.9963049240902884,0.7665468386551068,0.6714089130091869,0.333913855359631,0.9984126984126984,0.8858846071960826,0.13,1.0,2.6,552,credit-a
RF_1,0.998211091234347,0.9714285714285714,0.9974489795918368,0.9614035087719298,0.99606695326077,0.9337278106508876,0.6354974498474872,0.4984351635801538,0.9974489795918368,0.9614035087719298,0.59,1.0,1.98,559,breast-w
SVC_0,0.998211091234347,0.9785714285714284,0.9985955056179776,0.972514619883041,0.9961365411330508,0.9505882352941176,0.6439100833026075,0.524411864425674,0.9985955056179776,0.972514619883041,0.68,1.0,2.03,559,breast-w
XGB_0,1.0,0.9642857142857144,1.0,0.9612802685207384,1.0,0.916626965221534,0.6489288305033764,0.4691278178408334,1.0,0.9612802685207384,0.6,1.0,2.02,559,breast-w
RF_2,1.0,0.9415584415584416,1.0,0.9464285714285714,1.0,0.8760951188986232,0.6455099710688981,0.4516243741233827,1.0,0.9464285714285714,0.08,1.0,2.64,614,diabetes
SVC_1,1.0,0.9155844155844156,1.0,0.88989898989899,1.0,0.8092243186582809,0.5803540382332447,0.367514836505248,1.0,0.88989898989899,0.3,1.0,2.24,614,diabetes
XGB_0,1.0,0.922077922077922,1.0,0.9030141843971632,1.0,0.8310786106032907,0.6237873359732017,0.4087682415216757,1.0,0.9030141843971632,0.15,1.0,2.35,614,diabetes
RF_0,1.0,0.8235294117647058,1.0,0.8115491439704845,1.0,0.7640199888950583,1.385086802536782,0.920859086343624,1.0,0.8115491439704845,0.1,0.99,2.53,676,vehicle
SVC_1,1.0,0.8176470588235294,1.0,0.8096882284382284,1.0,0.7554183877105862,1.3856357834324875,0.8307163395379192,1.0,0.8096882284382284,0.1,1.0,2.51,676,vehicle
XGB_0,1.0,0.7823529411764706,1.0,0.7607317927170869,1.0,0.7082560296846011,1.3849430241009524,0.8406540068667476,1.0,0.7607317927170869,0.1,1.0,2.5,676,vehicle
RF_1,1.0,0.9791666666666666,1.0,0.976911976911977,1.0,0.9538239538239538,0.6449053283177895,0.5433211725122751,1.0,0.976911976911977,0.12,1.0,3.47,766,tic-tac-toe
SVC_1,1.0,0.96875,1.0,0.96833938180453,1.0,0.9285448455526608,0.636212111503657,0.4938000490956609,1.0,0.96833938180453,0.13,1.0,3.42,766,tic-tac-toe
XGB_2,1.0,0.9791666666666666,1.0,0.976911976911977,1.0,0.9538239538239538,0.6449053283177895,0.5433211725122751,1.0,0.976911976911977,0.12,1.0,3.47,766,tic-tac-toe
RF_2,0.9010416666666666,0.922279792746114,0.896001644567787,0.9167755991285402,0.7984043104341519,0.8409253255673389,0.3679030115381413,0.4163351799847745,0.896001644567787,0.9167755991285402,0.22,0.99,3.97,768,mammographic-masses
SVC_1,1.0,1.0,1.0,1.0,1.0,1.0,0.6567294596789176,0.670409959717846,1.0,1.0,1.0,1.0,1.0,768,mammographic-masses
XGB_0,0.99609375,0.9585492227979274,0.9959571678321678,0.9591936535535752,0.9921311475409836,0.9162962159817848,0.6642354666375625,0.5171772076843696,0.9959571678321678,0.9591936535535752,0.56,1.0,2.57,768,mammographic-masses
RF_2,1.0,0.909952606635071,1.0,0.8973354231974922,1.0,0.791404339455747,0.6394830966454055,0.3279517980204149,1.0,0.8973354231974922,0.08,1.0,2.09,844,qsar-biodeg
