model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
RF_0,0.9675925925925926,0.8888888888888888,0.9626984126984128,0.8851727982162765,0.9328,0.7618522601984564,0.5412403907135926,0.3158723110590756,0.9626984126984128,0.8851727982162765,0.07,0.98,2.73,432,cylinder-bands
XGB_2,0.9953703703703703,0.925925925925926,0.9944444444444444,0.9067669172932332,0.9904610492845788,0.8335901386748844,0.6521551192121059,0.3853433407440241,0.9944444444444444,0.9067669172932332,0.06,0.99,3.05,432,cylinder-bands
RF_2,1.0,0.9824561403508772,1.0,0.9838709677419356,1.0,0.9647495361781075,0.6471058439335028,0.6142583078142623,1.0,0.9838709677419356,0.43,1.0,1.61,455,wdbc
XGB_2,1.0,0.9736842105263158,1.0,0.9727047146401986,1.0,0.9468779123951536,0.6471058439335028,0.568331343802058,1.0,0.9727047146401986,0.45,1.0,1.7,455,wdbc
RF_0,1.0,0.85,1.0,0.8494176350937018,1.0,0.8192922278925793,1.7911844277746278,1.2969344233027296,1.0,0.8494176350937018,0.38,1.0,2.27,480,kdd-synthetic-control
XGB_1,1.0,0.7583333333333333,1.0,0.7465160930886466,1.0,0.7095158597662772,1.7911844277746278,1.2192373317970386,1.0,0.7465160930886466,0.32,0.99,2.21,480,kdd-synthetic-control
RF_2,0.924,0.864,0.7545875202089599,0.6532051282051282,0.8618945164854335,0.7498528546203649,0.6035918872390326,0.4364781747119947,0.7545875202089599,0.6532051282051282,0.14,0.92,2.92,500,balance-scale
XGB_2,0.92,0.888,0.7590426156287884,0.6692665571975916,0.8550367481843353,0.7932175351530191,0.5885300113502601,0.4928430678522416,0.7590426156287884,0.6692665571975916,0.15,0.92,2.98,500,balance-scale
RF_1,0.9633699633699634,0.948905109489051,0.9771738957695016,0.9380534670008354,0.9597397091083378,0.9440098085007006,2.5121010021879164,2.4867981574074207,0.9771738957695016,0.9380534670008354,0.62,0.97,2.48,546,soybean
XGB_0,0.9725274725274724,0.9708029197080292,0.978299848574126,0.9633200648680528,0.969792531120332,0.9680485102909452,2.52892928183802,2.5612629442393158,0.978299848574126,0.9633200648680528,0.65,0.96,2.4,546,soybean
RF_2,0.9402173913043478,0.9202898550724636,0.938738195700221,0.9204545454545454,0.8779350273399806,0.840378548895899,0.4571843775950636,0.4147639369965289,0.938738195700221,0.9204545454545454,0.15,0.99,3.16,552,credit-a
XGB_2,0.9782608695652174,0.8840579710144928,0.9746835443037974,0.8841813923781137,0.9553560596870072,0.7657542966263526,0.5899459637862045,0.3306061143649136,0.9746835443037974,0.8841813923781137,0.18,0.99,3.22,552,credit-a
RF_1,0.998211091234347,0.9714285714285714,0.9974489795918368,0.9555555555555556,0.99606695326077,0.932934131736527,0.6354974498474872,0.5082745671913809,0.9974489795918368,0.9555555555555556,0.64,1.0,2.22,559,breast-w
XGB_0,0.998211091234347,0.9642857142857144,0.99746192893401,0.9483337329177656,0.99607617416452,0.9144254278728606,0.636597839166684,0.463433432405233,0.99746192893401,0.9483337329177656,0.65,1.0,2.25,559,breast-w
RF_2,1.0,0.8831168831168831,1.0,0.8852040816326531,1.0,0.7531172069825436,0.6455099710688981,0.3136478349450674,1.0,0.8852040816326531,0.07,1.0,2.86,614,diabetes
XGB_0,1.0,0.922077922077922,1.0,0.9090425531914894,1.0,0.8331527627302275,0.6237873359732017,0.3968853299721874,1.0,0.9090425531914894,0.12,1.0,2.62,614,diabetes
RF_0,0.9940828402366864,0.7647058823529411,0.9942941673710904,0.750797993616051,0.9921045792856162,0.6853017400962607,1.3508717232904013,0.7929492274996868,0.9942941673710904,0.750797993616051,0.1,0.98,3.1,676,vehicle
XGB_0,1.0,0.7764705882352941,1.0,0.7617909663865546,1.0,0.7020020297075376,1.3849430241009524,0.8453052993288117,1.0,0.7617909663865546,0.09,0.99,3.08,676,vehicle
RF_1,0.9908616187989556,0.9895833333333334,0.9867924528301888,0.9848484848484848,0.9796800036380447,0.9767441860465116,0.5966761537969472,0.5898349949739523,0.9867924528301888,0.9848484848484848,0.17,0.99,3.26,766,tic-tac-toe
XGB_2,1.0,0.9947916666666666,1.0,0.996031746031746,1.0,0.9884974838245866,0.6449053283177895,0.6164228419492347,1.0,0.996031746031746,0.2,1.0,3.27,766,tic-tac-toe
RF_2,0.89453125,0.917098445595855,0.8914276904101142,0.9121459694989108,0.7860061919504644,0.8305345187136428,0.3511651982588216,0.402034268981331,0.8914276904101142,0.9121459694989108,0.26,0.98,3.95,768,mammographic-masses
XGB_0,0.9830729166666666,0.9637305699481864,0.9830638111888113,0.963866550749837,0.9659165392178284,0.926675712347354,0.6040595128062989,0.5324143727453033,0.9830638111888113,0.963866550749837,0.53,1.0,2.54,768,mammographic-masses
RF_2,0.9988151658767772,0.9289099526066352,0.9991055456171736,0.8946185997910135,0.9973534355166443,0.8267746702424608,0.6315989242308169,0.3685331174102269,0.9991055456171736,0.8946185997910135,0.06,1.0,2.65,844,qsar-biodeg
XGB_0,1.0,0.909952606635071,1.0,0.8741708126036485,1.0,0.7826982492276005,0.6311856475862543,0.323149292484404,1.0,0.8741708126036485,0.07,1.0,2.47,844,qsar-biodeg
RF_0,0.8610675039246468,0.768025078369906,0.8602413324743992,0.766146120909001,0.8455826311446503,0.741799289034728,1.7315807785021011,1.507942823742166,0.8602413324743992,0.766146120909001,0.36,0.87,5.33,1274,semeion
XGB_1,0.8744113029827315,0.7962382445141066,0.8739219891584822,0.8016893204796431,0.86042180224596,0.772933845833744,1.767918315751725,1.5396028082964444,0.8739219891584822,0.8016893204796431,0.25,0.88,4.6,1274,semeion
RF_2,0.992040520984081,0.9826589595375722,0.977518821728926,0.9572549019607844,0.9823685236045132,0.9640426084697324,0.7853729345982869,0.8197092864600078,0.977518821728926,0.9572549019607844,0.3,0.99,2.37,1382,car
XGB_1,0.9645441389290884,0.9364161849710982,0.8238323441460972,0.732053053329649,0.9212585973337364,0.8661414553511765,0.6861552720579831,0.6678648658655933,0.8238323441460972,0.732053053329649,0.3,0.96,2.42,1382,car
RF_2,0.988125,0.715,0.9885363936566304,0.7131108490428877,0.9868033045567234,0.6831903289679369,2.2473762953485124,1.3828727588163543,0.9885363936566304,0.7131108490428877,0.11,0.94,2.66,1600,cmc
XGB_1,0.99375,0.735,0.993929868526394,0.7390136427762981,0.9930543949401268,0.7059496646855257,2.269231167622272,1.4667693691483563,0.993929868526394,0.7390136427762981,0.12,0.95,2.59,1600,cmc
RF_0,1.0,1.0,1.0,1.0,1.0,1.0,0.3734399346716082,0.4487318132019497,1.0,1.0,0.68,1.0,1.67,1760,titanic
XGB_0,1.0,1.0,1.0,1.0,1.0,1.0,0.3734399346716082,0.4487318132019497,1.0,1.0,0.7,1.0,1.67,1760,titanic
RF_0,0.9989177489177488,0.9632034632034632,0.9988839115412702,0.967655830987862,0.998737183057206,0.9569811196739898,1.9383743943597052,1.7889387586086407,0.9988839115412702,0.967655830987862,0.55,1.0,2.19,1848,segment
XGB_1,0.9994588744588744,0.961038961038961,0.999439775910364,0.9647237166909298,0.9993685910971344,0.95447378793851,1.941910871162892,1.770371928037829,0.999439775910364,0.9647237166909298,0.53,1.0,2.12,1848,segment
RF_0,0.980648282535075,0.988394584139265,0.849624060150376,0.4961165048543689,0.813111997179049,-0.0051847051198963,0.1441523269019123,3.0105030023847013e-05,0.849624060150376,0.4961165048543689,0.05,0.99,3.04,2067,seismic-bumps
XGB_2,0.9917755200774068,0.9806576402321084,0.9356060606060606,0.624009900990099,0.9268225636155764,0.3676614481409002,0.1902601914844692,0.0182976609134639,0.9356060606060606,0.624009900990099,0.04,0.99,2.69,2067,seismic-bumps
RF_1,0.9990384615384617,0.7865384615384615,0.9990243902439024,0.7875753134668622,0.9980764695818634,0.5737830812854442,0.6860536488657762,0.1771893173667173,0.9990243902439024,0.7875753134668622,0.01,0.99,3.52,2080,madelon
XGB_2,0.9995192307692308,0.7942307692307692,0.9995260663507108,0.7947550739441311,0.999038274812972,0.5887170692764849,0.6892292530631816,0.1857461915576163,0.9995260663507108,0.7947550739441311,0.02,1.0,3.59,2080,madelon
