model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
RF_0,0.988425925925926,0.8518518518518519,0.9900793650793652,0.867335562987737,0.9762845849802372,0.6958817317845829,0.625983995350133,0.2817645434618805,0.9900793650793652,0.867335562987737,0.11,1.0,3.56,98,cylinder-bands
SVC_1,0.9953703703703703,0.8611111111111112,0.9966101694915256,0.8741776315789473,0.989352525078254,0.6920152091254752,0.6004549575397287,0.264767061222954,0.9966101694915256,0.8741776315789473,0.17,1.0,3.73,63,cylinder-bands
XGB_2,0.988425925925926,0.8611111111111112,0.9900793650793652,0.880827067669173,0.9762845849802372,0.7143864598025388,0.625983995350133,0.3052274794223052,0.9900793650793652,0.880827067669173,0.11,1.0,3.56,98,cylinder-bands
RF_2,0.989010989010989,0.9649122807017544,0.9842767295597484,0.9646401985111664,0.9756536070117612,0.9292803970223324,0.5911792469064275,0.5374300470691735,0.9842767295597484,0.9646401985111664,0.83,1.0,3.76,17,wdbc
SVC_1,0.9934065934065934,0.956140350877193,0.9919527208994144,0.9621212121212122,0.985390288020036,0.911297852474323,0.6046513018409873,0.5353607744485651,0.9919527208994144,0.9621212121212122,0.82,1.0,4.11,18,wdbc
XGB_2,0.989010989010989,0.9649122807017544,0.9842767295597484,0.9646401985111664,0.9756536070117612,0.9292803970223324,0.5911792469064275,0.5374300470691735,0.9842767295597484,0.9646401985111664,0.83,1.0,3.76,17,wdbc
RF_0,1.0,0.9166666666666666,1.0,0.9133332585513227,1.0,0.8997744926083688,1.7911844277746278,1.4925601825371206,1.0,0.9133332585513227,0.53,1.0,2.74,34,kdd-synthetic-control
SVC_0,1.0,0.9166666666666666,1.0,0.91047378142714,1.0,0.8995983935742973,1.7914465825634258,1.5078285106558598,1.0,0.91047378142714,0.52,1.0,2.85,33,kdd-synthetic-control
XGB_1,1.0,0.9166666666666666,1.0,0.9133332585513227,1.0,0.8997744926083688,1.7911844277746278,1.4925601825371206,1.0,0.9133332585513227,0.53,1.0,2.74,34,kdd-synthetic-control
RF_2,0.906,0.84,0.697614117945688,0.6378205128205128,0.826734498267345,0.7010642114073897,0.540772035311829,0.3568351766075383,0.697614117945688,0.6378205128205128,0.24,0.92,3.3,57,balance-scale
