model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
RF_0,0.976851851851852,0.6759259259259259,0.9761904761904762,0.6627647714604237,0.9523809523809524,0.3167028199566161,0.5694767856557621,0.0506754010102825,0.9761904761904762,0.6627647714604237,0.05,0.98,4.45,150,cylinder-bands
SVC_1,0.9120370370370372,0.8055555555555556,0.8964988246938017,0.7713815789473684,0.7961099932930918,0.5378973105134475,0.3323674387676087,0.1405123813172973,0.8964988246938017,0.7713815789473684,0.1,0.97,3.62,89,cylinder-bands
XGB_2,0.9791666666666666,0.7777777777777778,0.9813492063492064,0.7864661654135339,0.957379636937648,0.5404255319148936,0.5876679549156217,0.1595739065657225,0.9813492063492064,0.7864661654135339,0.05,0.98,4.34,126,cylinder-bands
RF_2,0.978021978021978,0.9824561403508772,0.9714643889172192,0.9807692307692308,0.9512357190320022,0.9645301804604852,0.542485124001483,0.6112256734810455,0.9714643889172192,0.9807692307692308,0.83,0.98,3.05,20,wdbc
SVC_1,0.9494505494505494,0.9210526315789472,0.938806480571111,0.9232954545454546,0.8869687314359778,0.8394366197183099,0.444241064655803,0.4127898775649607,0.938806480571111,0.9232954545454546,0.86,0.97,1.94,17,wdbc
XGB_2,0.967032967032967,0.9473684210526316,0.9601075131735508,0.9438585607940446,0.9269608210352837,0.8932584269662921,0.5021986359418068,0.4913349906818854,0.9601075131735508,0.9438585607940446,0.85,0.98,2.81,21,wdbc
RF_0,1.0,0.9166666666666666,1.0,0.9133332585513227,1.0,0.8997744926083688,1.7911844277746278,1.4925601825371206,1.0,0.9133332585513227,0.53,1.0,2.74,34,kdd-synthetic-control
SVC_0,0.86875,0.6833333333333333,0.8695867038905861,0.6800945244611957,0.8424441989871413,0.6206007155337382,1.4360010879366705,1.079194255287003,0.8695867038905861,0.6800945244611957,0.42,0.92,4.21,81,kdd-synthetic-control
XGB_1,0.8729166666666667,0.5833333333333334,0.8716898394485938,0.6031617834013849,0.8474714008876665,0.5013712291199203,1.3278532182176324,0.9210976880055466,0.8716898394485938,0.6031617834013849,0.22,0.91,3.73,112,kdd-synthetic-control
RF_2,0.924,0.856,0.7179059358199273,0.6480769230769231,0.8601017575637089,0.7301187477509896,0.6094595255553195,0.3856011858837627,0.7179059358199273,0.6480769230769231,0.28,0.88,3.29,55,balance-scale
SVC_1,0.894,0.792,0.7276234567901234,0.6333333333333333,0.8145037099258015,0.6452352363279119,0.6458515722121152,0.4853727551665492,0.7276234567901234,0.6333333333333333,0.25,0.86,3.49,65,balance-scale
XGB_2,0.916,0.872,0.697500845841763,0.6157088122605364,0.844930329412286,0.758803666184274,0.5821027440638799,0.457120336323162,0.697500845841763,0.6157088122605364,0.28,0.91,3.23,56,balance-scale
RF_1,0.6098901098901099,0.4817518248175182,0.5574622274793144,0.4006037821827296,0.5667957982567235,0.4313358667056416,1.4419430508382425,1.4323660546181904,0.5574622274793144,0.4006037821827296,0.39,0.66,4.92,65,soybean
SVC_0,0.4981684981684982,0.4963503649635036,0.3702028696142269,0.3325672134882661,0.4257617281960342,0.4259079314952022,1.1830961394201116,1.2497353633516912,0.3702028696142269,0.3325672134882661,0.53,0.59,3.0,21,soybean
XGB_0,0.5347985347985348,0.5182481751824818,0.6341553183658447,0.6332676611314382,0.4923328659962881,0.4796270718232044,1.6380764958177505,1.6618914075334694,0.6341553183658447,0.6332676611314382,0.86,0.78,2.93,14,soybean
RF_2,0.8786231884057971,0.8985507246376812,0.8873819570022101,0.9015151515151516,0.7577424933186606,0.7979924717691342,0.3427366947304864,0.3879719891388282,0.8873819570022101,0.9015151515151516,0.51,0.92,3.33,24,credit-a
SVC_0,1.0,1.0,1.0,1.0,1.0,1.0,0.4534650765650603,0.4505612088663049,1.0,1.0,1.0,1.0,1.0,2,credit-a
XGB_2,0.8731884057971014,0.8623188405797102,0.8815752461322082,0.8715137321694699,0.746765758326452,0.726931889189752,0.3296707789198727,0.3187073034084504,0.8815752461322082,0.8715137321694699,0.55,0.92,3.6,25,credit-a
RF_1,0.9695885509838998,0.9785714285714284,0.9636743127002868,0.9666666666666668,0.932822474038781,0.95,0.5116726547303696,0.5321367934423319,0.9636743127002868,0.9666666666666668,0.89,0.98,3.55,20,breast-w
SVC_0,0.998211091234347,0.9642857142857144,0.9985955056179776,0.9561403508771932,0.9961365411330508,0.9176470588235294,0.6439100833026075,0.4744718586324961,0.9985955056179776,0.9561403508771932,0.87,0.99,3.1,10,breast-w
