model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
RF_0,0.9722222222222222,0.8981481481481481,0.9746031746031748,0.8979933110367893,0.943217665615142,0.7828947368421053,0.5619071803188365,0.3391170841138419,0.9746031746031748,0.8979933110367893,0.08,0.98,3.56,106,cylinder-bands
XGB_2,0.9930555555555556,0.8703703703703703,0.9940476190476192,0.8699248120300752,0.985748218527316,0.722466960352423,0.6437583216773175,0.2825755608877293,0.9940476190476192,0.8699248120300752,0.07,0.98,3.75,101,cylinder-bands
RF_2,0.9692307692307692,0.9473684210526316,0.9647076321604624,0.9454094292803972,0.9321286253116544,0.8935905413814561,0.5101747708651866,0.4843837222282505,0.9647076321604624,0.9454094292803972,0.84,0.98,2.47,19,wdbc
XGB_2,0.9736263736263736,0.9473684210526316,0.9680860105388408,0.9454094292803972,0.9416541996153024,0.8935905413814561,0.525207909603759,0.4843837222282505,0.9680860105388408,0.9454094292803972,0.85,0.99,3.13,15,wdbc
RF_0,0.9458333333333332,0.8916666666666667,0.9469978680152707,0.8805684554523564,0.9349979686865216,0.8692591350988937,1.6355511822611484,1.4854282503174334,0.9469978680152707,0.8805684554523564,0.8,0.97,4.76,42,kdd-synthetic-control
XGB_1,0.99375,0.9583333333333334,0.9939263225742476,0.956397414038079,0.9924985544089224,0.9498327759197324,1.7575629141350892,1.6184246632395602,0.9939263225742476,0.956397414038079,0.66,0.97,4.0,25,kdd-synthetic-control
RF_2,0.908,0.816,0.6771707225971108,0.5871794871794872,0.8297469150881245,0.6570849236641221,0.5544465460649758,0.3189030302023196,0.6771707225971108,0.5871794871794872,0.24,0.95,3.18,57,balance-scale
XGB_2,0.896,0.872,0.6611457613052629,0.6164750957854407,0.8072503521387797,0.7594419052201107,0.5121487444319854,0.4624032113437178,0.6611457613052629,0.6164750957854407,0.25,0.95,3.13,60,balance-scale
RF_1,0.934065934065934,0.9197080291970804,0.9593544730444536,0.9448203842940686,0.9275191840377006,0.9120205499445384,2.423824486596773,2.3971915143031124,0.9593544730444536,0.9448203842940686,0.62,0.96,2.88,41,soybean
XGB_0,0.945054945054945,0.9343065693430656,0.9629336409821954,0.9279448621553884,0.939577707936789,0.9279537220988664,2.441440098154497,2.442397908401791,0.9629336409821954,0.9279448621553884,0.62,0.91,2.38,42,soybean
