model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,measure,dataset
RF_0,0.988425925925926,0.8518518518518519,0.9900793650793652,0.867335562987737,0.9762845849802372,0.6958817317845829,0.625983995350133,0.2817645434618805,0.9900793650793652,0.867335562987737,0.11,1.0,3.56,98,c2,cylinder-bands
SVC_1,0.7916666666666666,0.7870370370370371,0.8064085116912038,0.821546052631579,0.5602506390390662,0.5573770491803278,0.1755224129385027,0.191099463593199,0.8064085116912038,0.821546052631579,0.11,1.0,3.56,98,c2,cylinder-bands
XGB_2,0.988425925925926,0.8611111111111112,0.9900793650793652,0.880827067669173,0.9762845849802372,0.7143864598025388,0.625983995350133,0.3052274794223052,0.9900793650793652,0.880827067669173,0.11,1.0,3.56,98,c2,cylinder-bands
RF_2,0.989010989010989,0.9649122807017544,0.9842767295597484,0.9646401985111664,0.9756536070117612,0.9292803970223324,0.5911792469064275,0.5374300470691735,0.9842767295597484,0.9646401985111664,0.83,1.0,3.76,17,c2,wdbc
SVC_1,0.9714285714285714,0.9298245614035088,0.966133031248664,0.9337121212121212,0.9364995866837004,0.8576779026217228,0.5147280893774949,0.4399981186748449,0.966133031248664,0.9337121212121212,0.83,1.0,3.76,17,c2,wdbc
XGB_2,0.989010989010989,0.9649122807017544,0.9842767295597484,0.9646401985111664,0.9756536070117612,0.9292803970223324,0.5911792469064275,0.5374300470691735,0.9842767295597484,0.9646401985111664,0.83,1.0,3.76,17,c2,wdbc
RF_0,1.0,0.9166666666666666,1.0,0.9133332585513227,1.0,0.8997744926083688,1.7911844277746278,1.4925601825371206,1.0,0.9133332585513227,0.53,1.0,2.74,34,c2,kdd-synthetic-control
SVC_0,0.9958333333333332,0.9,0.9957264957264956,0.896584892538251,0.9949992186279106,0.8797293911300426,1.771806802235238,1.4549535787455363,0.9957264957264956,0.896584892538251,0.53,1.0,2.74,34,c2,kdd-synthetic-control
XGB_1,1.0,0.9166666666666666,1.0,0.9133332585513227,1.0,0.8997744926083688,1.7911844277746278,1.4925601825371206,1.0,0.9133332585513227,0.53,1.0,2.74,34,c2,kdd-synthetic-control
RF_2,0.906,0.84,0.697614117945688,0.6378205128205128,0.826734498267345,0.7010642114073897,0.540772035311829,0.3568351766075383,0.697614117945688,0.6378205128205128,0.24,0.92,3.3,57,c2,balance-scale
SVC_1,0.838,0.752,0.6628156565656567,0.6019753086419753,0.7146922903516681,0.576780253385758,0.4512696802626295,0.3447946261407044,0.6628156565656567,0.6019753086419753,0.24,0.92,3.3,57,c2,balance-scale
XGB_2,0.906,0.832,0.697614117945688,0.5877394636015326,0.826734498267345,0.6838111298482293,0.540772035311829,0.3362589326412706,0.697614117945688,0.5877394636015326,0.24,0.92,3.3,57,c2,balance-scale
RF_1,0.957875457875458,0.948905109489051,0.9841430499325236,0.9471177944862156,0.9537882384111808,0.943973827189344,2.5404905848400534,2.5114146761396063,0.9841430499325236,0.9471177944862156,0.71,0.97,3.54,35,c2,soybean
SVC_0,0.9816849816849816,0.978102189781022,0.9937326869806092,0.9846491228070176,0.9798404962339388,0.9759170280089066,2.568499696127564,2.5572020189044395,0.9937326869806092,0.9846491228070176,0.71,0.97,3.54,35,c2,soybean
XGB_0,0.967032967032967,0.9416058394160584,0.986922886848758,0.9418546365914788,0.9638109686494288,0.936033617368974,2.5542047324632757,2.5066874511933013,0.986922886848758,0.9418546365914788,0.71,0.97,3.54,35,c2,soybean
RF_2,0.8967391304347826,0.927536231884058,0.9022101667671288,0.9292929292929292,0.7924154857097617,0.8553459119496856,0.3686958070525377,0.4452574118151494,0.9022101667671288,0.9292929292929292,0.55,0.94,6.06,32,c2,credit-a
SVC_0,0.6177536231884058,0.572463768115942,0.6886991355682057,0.6565217391304348,0.2166895327253651,0.1690140845070422,0.0419722952119115,0.0288594109709729,0.6886991355682057,0.6565217391304348,0.55,0.94,6.06,32,c2,credit-a
XGB_2,0.8967391304347826,0.8623188405797102,0.9022101667671288,0.869810517351501,0.7924154857097617,0.7260188087774295,0.3686958070525377,0.3100702638541039,0.9022101667671288,0.869810517351501,0.55,0.94,6.06,32,c2,credit-a
RF_1,0.9731663685152058,0.9928571428571428,0.9746444032158318,0.9888888888888888,0.9415536890530792,0.983529411764706,0.5320966193250419,0.5882335767480413,0.9746444032158318,0.9888888888888888,0.88,0.97,3.53,15,c2,breast-w
SVC_0,0.996422182468694,0.9785714285714284,0.9961324514307854,0.972514619883041,0.9922649028615708,0.9505882352941176,0.6316227867171829,0.524411864425674,0.9961324514307854,0.972514619883041,0.88,0.97,3.53,15,c2,breast-w
XGB_0,0.9785330948121646,0.9642857142857144,0.9799548475755112,0.9612802685207384,0.9532927627456168,0.916626965221534,0.5520458449737957,0.4691278178408334,0.9799548475755112,0.9612802685207384,0.88,0.97,3.53,15,c2,breast-w
RF_2,0.9104234527687296,0.9155844155844156,0.8829979043002822,0.9145408163265306,0.7948633839948488,0.819672131147541,0.3461577593646824,0.3762329791077884,0.8829979043002822,0.9145408163265306,0.22,0.98,4.7,151,c2,diabetes
SVC_1,0.8469055374592834,0.8961038961038961,0.8199864498644986,0.8949494949494949,0.6207286300073599,0.7773359840954275,0.1862950198712894,0.3320891934220111,0.8199864498644986,0.8949494949494949,0.22,0.98,4.7,151,c2,diabetes
XGB_0,0.9218241042345277,0.9285714285714286,0.8998649975454099,0.9234042553191488,0.8155648451776014,0.8493686644140139,0.3502325907357373,0.4120702948745053,0.8998649975454099,0.9234042553191488,0.22,0.98,4.7,151,c2,diabetes
RF_0,0.9689349112426036,0.8176470588235294,0.9698858833474218,0.7995377855158976,0.9585732336865328,0.7548837209302326,1.242899136763432,0.8978258095005307,0.9698858833474218,0.7995377855158976,0.11,0.99,3.76,140,c2,vehicle
SVC_1,0.8313609467455622,0.7529411764705882,0.8356793510966682,0.7335712898212898,0.7751282455311028,0.6671328671328671,0.925253145237576,0.7251832253263581,0.8356793510966682,0.7335712898212898,0.11,0.99,3.76,140,c2,vehicle
XGB_0,0.9319526627218936,0.8058823529411765,0.9336300379689728,0.7812339519140991,0.9092376440782348,0.7388268156424581,1.11304000908972,0.913924729716601,0.9336300379689728,0.7812339519140991,0.11,0.99,3.76,140,c2,vehicle
RF_1,0.9986945169712794,0.96875,0.9981132075471698,0.9545454545454546,0.9971126373005044,0.9292035398230089,0.6354828695165737,0.5163677160914439,0.9981132075471698,0.9545454545454546,0.12,1.0,4.14,42,c2,tic-tac-toe
SVC_1,0.9882506527415144,0.984375,0.9911937377690804,0.9797897634839194,0.9737784979118648,0.9638009049773756,0.5849675448989535,0.5446609946430591,0.9911937377690804,0.9797897634839194,0.12,1.0,4.14,42,c2,tic-tac-toe
XGB_2,0.9986945169712794,0.96875,0.9981132075471698,0.9545454545454546,0.9971126373005044,0.9292035398230089,0.6354828695165737,0.5163677160914439,0.9981132075471698,0.9545454545454546,0.12,1.0,4.14,42,c2,tic-tac-toe
RF_2,0.8723958333333334,0.9481865284974094,0.8654537979237331,0.9449346405228758,0.7392045572673028,0.8943507773155244,0.3099337864585545,0.4838743791282471,0.8654537979237331,0.9449346405228758,0.66,0.89,3.32,25,c2,mammographic-masses
SVC_1,0.9713541666666666,0.9740932642487048,0.9774127310061602,0.9786324786324788,0.9392723900713807,0.9463561065095336,0.5540205482040821,0.5731692441503022,0.9774127310061602,0.9786324786324788,0.66,0.89,3.32,25,c2,mammographic-masses
XGB_0,0.93359375,0.9533678756476685,0.9277753496503496,0.949956531188872,0.8648111332007953,0.9050767801519208,0.4742767379233008,0.5029548243307818,0.9277753496503496,0.949956531188872,0.66,0.89,3.32,25,c2,mammographic-masses
RF_2,0.9324644549763034,0.9289099526066352,0.9232181527163168,0.9276384535005224,0.8486255852590243,0.8379831072434093,0.3952866790296853,0.382306594309752,0.9232181527163168,0.9276384535005224,0.32,0.98,5.85,100,c2,qsar-biodeg
SVC_1,0.90521327014218,0.919431279620853,0.8976342247097844,0.9109422492401216,0.7843142265722829,0.8189389732976629,0.3256795160451738,0.3621553716829311,0.8976342247097844,0.9109422492401216,0.32,0.98,5.85,100,c2,qsar-biodeg
XGB_0,0.9561611374407584,0.924170616113744,0.9533951110401022,0.9205016583747928,0.9008660097521332,0.8277902468883901,0.4577408280773374,0.3708274016273842,0.9533951110401022,0.9205016583747928,0.32,0.98,5.85,100,c2,qsar-biodeg
RF_0,0.9803767660910518,0.8840125391849529,0.9804818778202862,0.8741880211031571,0.9781936540452312,0.8706605593056895,2.190383197965101,1.8268535300566264,0.9804818778202862,0.8741880211031571,0.42,0.99,6.2,154,c2,semeion
SVC_0,0.9819466248037676,0.8620689655172413,0.9820649453032242,0.8543190335403958,0.9799381479861125,0.8462178981505829,2.1984252200264733,1.7352889679686994,0.9820649453032242,0.8543190335403958,0.42,0.99,6.2,154,c2,semeion
XGB_1,0.9803767660910518,0.8714733542319749,0.9804818778202862,0.8661111733853669,0.9781936540452312,0.8565631751532632,2.190383197965101,1.7816032426830315,0.9804818778202862,0.8661111733853669,0.42,0.99,6.2,154,c2,semeion
RF_2,0.9167872648335744,0.8959537572254336,0.6863533377541998,0.6259562977733467,0.8195941236699139,0.7826557319839469,0.5614605892421511,0.5485088626403858,0.6863533377541998,0.6259562977733467,0.17,0.96,5.91,74,c2,car
SVC_0,0.9160636758321272,0.8901734104046243,0.6852196081161034,0.6181964297477109,0.8183731851423846,0.7714742586992039,0.565800778861032,0.5377364429500553,0.6852196081161034,0.6181964297477109,0.17,0.96,5.91,74,c2,car
XGB_1,0.9167872648335744,0.8930635838150289,0.6863533377541998,0.6199709864603482,0.8195941236699139,0.7767352633414719,0.5614605892421511,0.5320202632993405,0.6863533377541998,0.6199709864603482,0.17,0.96,5.91,74,c2,car
RF_2,0.99,0.8575,0.990082102110579,0.857474444503462,0.9888870270800576,0.8414210896040396,2.244640224879201,1.7770346833063182,0.990082102110579,0.857474444503462,0.2,0.98,4.24,316,c2,cmc
SVC_0,0.844375,0.8075,0.8470579257378554,0.7922777589690297,0.8270590885788243,0.7856317599075711,1.82881871545832,1.6805868426603945,0.8470579257378554,0.7922777589690297,0.2,0.98,4.24,316,c2,cmc
