model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
RF_0,1.0,0.8518518518518519,1.0,0.8338907469342252,1.0,0.6753100338218715,0.6791932659915261,0.2379475096060411,1.0,0.8338907469342252,0.07,1.0,2.88,103,cylinder-bands
SVC_1,1.0,0.8240740740740741,1.0,0.8026315789473684,1.0,0.589271417133707,0.6246868915804531,0.1723241965545293,1.0,0.8026315789473684,0.09,1.0,2.78,77,cylinder-bands
XGB_2,1.0,0.8240740740740741,1.0,0.8041353383458647,1.0,0.6119515885022693,0.6791932659915261,0.1912861259632627,1.0,0.8041353383458647,0.07,1.0,2.88,103,cylinder-bands
RF_2,1.0,0.9824561403508772,1.0,0.9838709677419356,1.0,0.9647495361781075,0.6471058439335028,0.6142583078142623,1.0,0.9838709677419356,0.54,1.0,1.97,36,wdbc
SVC_1,1.0,0.956140350877193,1.0,0.9621212121212122,1.0,0.911297852474323,0.6443315938557966,0.5353607744485651,1.0,0.9621212121212122,0.49,1.0,1.97,31,wdbc
XGB_2,1.0,0.9824561403508772,1.0,0.9838709677419356,1.0,0.9647495361781075,0.6471058439335028,0.6142583078142623,1.0,0.9838709677419356,0.54,1.0,1.97,36,wdbc
RF_0,1.0,0.85,1.0,0.8561418465174019,1.0,0.8202695956065902,1.7911844277746278,1.3417777803698463,1.0,0.8561418465174019,0.33,1.0,2.19,74,kdd-synthetic-control
SVC_0,1.0,0.9,1.0,0.9035274674324344,1.0,0.8799699924981246,1.7914465825634258,1.457463592043943,1.0,0.9035274674324344,0.32,1.0,2.2,76,kdd-synthetic-control
XGB_1,1.0,0.85,1.0,0.8561418465174019,1.0,0.8202695956065902,1.7911844277746278,1.3417777803698463,1.0,0.8561418465174019,0.33,1.0,2.19,74,kdd-synthetic-control
RF_2,0.966,0.912,0.8728261702290662,0.7583333333333333,0.9390707209725746,0.8393128432861985,0.7564620580340959,0.5591716190645825,0.8728261702290662,0.7583333333333333,0.14,0.91,3.79,110,balance-scale
SVC_1,0.954,0.728,0.905976430976431,0.5824691358024691,0.923054276844021,0.5529609761228569,0.7985536594018005,0.5205589372288068,0.905976430976431,0.5824691358024691,0.12,0.88,4.07,147,balance-scale
XGB_2,0.966,0.816,0.8728261702290662,0.6179255610290092,0.9390707209725746,0.6638606336957793,0.7564620580340959,0.3290137049208105,0.8728261702290662,0.6179255610290092,0.14,0.91,3.79,110,balance-scale
RF_1,1.0,0.9051094890510948,1.0,0.9208020050125314,1.0,0.8959392345895414,2.6454131748909493,2.3596003791558213,1.0,0.9208020050125314,0.38,1.0,3.48,69,soybean
SVC_0,1.0,0.9416058394160584,1.0,0.9574960127591706,1.0,0.9355938179467592,2.62707020695914,2.4309611854452435,1.0,0.9574960127591706,0.52,1.0,3.1,50,soybean
XGB_0,1.0,0.927007299270073,1.0,0.9273035530001474,1.0,0.9199392239364188,2.64516722857936,2.427350745878123,1.0,0.9273035530001474,0.41,1.0,3.48,65,soybean
RF_2,1.0,0.9202898550724636,1.0,0.9179292929292928,1.0,0.839568801521877,0.683130229829449,0.4258887698596552,1.0,0.9179292929292928,0.12,1.0,3.29,104,credit-a
SVC_0,1.0,1.0,1.0,1.0,1.0,1.0,0.4534650765650603,0.4505612088663049,1.0,1.0,1.0,1.0,1.0,2,credit-a
XGB_2,1.0,0.8695652173913043,1.0,0.866084734937194,1.0,0.7346720786156804,0.683130229829449,0.2992857620912116,1.0,0.866084734937194,0.12,1.0,3.29,104,credit-a
RF_1,0.998211091234347,0.9571428571428572,0.9974489795918368,0.9391812865497076,0.99606695326077,0.8994011976047904,0.6354974498474872,0.4529327127535292,0.9974489795918368,0.9391812865497076,0.4,1.0,2.97,36,breast-w
SVC_0,1.0,0.9785714285714284,1.0,0.9783625730994152,1.0,0.9511627906976744,0.655208231779776,0.5296214269177447,1.0,0.9783625730994152,0.67,1.0,2.27,15,breast-w
XGB_0,1.0,0.95,1.0,0.9444977223687364,1.0,0.8832777513101477,0.6489288305033764,0.4256967452902117,1.0,0.9444977223687364,0.38,1.0,2.94,32,breast-w
RF_2,1.0,0.9090909090909092,1.0,0.9132653061224488,1.0,0.8079800498753117,0.6455099710688981,0.3707704781444388,1.0,0.9132653061224488,0.07,1.0,3.29,184,diabetes
SVC_1,1.0,0.9090909090909092,1.0,0.8888888888888888,1.0,0.7971014492753623,0.5803540382332447,0.3473676893685963,1.0,0.8888888888888888,0.26,1.0,2.82,56,diabetes
XGB_0,1.0,0.9285714285714286,1.0,0.9173758865248228,1.0,0.8475247524752475,0.6237873359732017,0.4124960052765768,1.0,0.9173758865248228,0.12,1.0,3.22,122,diabetes
RF_0,1.0,0.7941176470588235,1.0,0.7808419350827012,1.0,0.7251732101616628,1.385086802536782,0.8767731333928901,1.0,0.7808419350827012,0.07,0.99,3.17,168,vehicle
SVC_1,1.0,0.8,1.0,0.7937597125097124,1.0,0.7323702366069362,1.3856357834324875,0.8165971170242823,1.0,0.7937597125097124,0.09,1.0,3.18,164,vehicle
XGB_0,1.0,0.7823529411764706,1.0,0.7625598155929038,1.0,0.7092001849283402,1.3849430241009524,0.8693725157139263,1.0,0.7625598155929038,0.08,1.0,3.09,161,vehicle
RF_1,1.0,0.9791666666666666,1.0,0.9696969696969696,1.0,0.9531478770131772,0.6449053283177895,0.5504562361502282,1.0,0.9696969696969696,0.12,1.0,3.43,30,tic-tac-toe
SVC_1,1.0,0.984375,1.0,0.9754098360655736,1.0,0.9634795840730408,0.636212111503657,0.5503182780590843,1.0,0.9754098360655736,0.14,1.0,3.3,27,tic-tac-toe
XGB_2,1.0,0.9791666666666666,1.0,0.9696969696969696,1.0,0.9531478770131772,0.6449053283177895,0.5504562361502282,1.0,0.9696969696969696,0.12,1.0,3.43,30,tic-tac-toe
RF_2,0.91796875,0.911917098445596,0.9135060129509712,0.907516339869281,0.8330227357435707,0.8201699095642642,0.4074362184033339,0.3887159145461132,0.9135060129509712,0.907516339869281,0.19,0.98,4.21,123,mammographic-masses
SVC_1,1.0,1.0,1.0,1.0,1.0,1.0,0.6567294596789176,0.670409959717846,1.0,1.0,1.0,1.0,1.0,2,mammographic-masses
XGB_0,0.9986979166666666,0.9740932642487048,0.9985795454545454,0.9743534014344708,0.997377049180328,0.9476255088195388,0.6805148265062266,0.5681942965557242,0.9985795454545454,0.9743534014344708,0.31,1.0,3.24,29,mammographic-masses
RF_2,1.0,0.909952606635071,1.0,0.9055903866248692,1.0,0.7947786025083184,0.6394830966454055,0.3367281715083442,1.0,0.9055903866248692,0.07,1.0,2.73,161,qsar-biodeg
SVC_1,1.0,0.90521327014218,1.0,0.8859169199594732,1.0,0.7831003289473684,0.6249978460915225,0.3237212789005979,1.0,0.8859169199594732,0.12,1.0,2.69,98,qsar-biodeg
XGB_0,1.0,0.957345971563981,1.0,0.9487976782752904,1.0,0.90119152921588,0.6311856475862543,0.4504055826792986,1.0,0.9487976782752904,0.12,1.0,2.64,106,qsar-biodeg
RF_0,1.0,0.8181818181818182,1.0,0.8118923777990762,1.0,0.7974514483392814,2.302031711607819,1.621042124697647,1.0,0.8118923777990762,0.17,1.0,4.18,282,semeion
SVC_0,1.0,0.799373040752351,1.0,0.7939750469177714,1.0,0.7766790636622183,2.302050401383099,1.568345025170988,1.0,0.7939750469177714,0.17,1.0,4.18,274,semeion
