model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,dataset
RF_0,0.9976851851851852,0.9074074074074074,0.9972222222222222,0.8940914158305462,0.9952343129467832,0.7970687711386697,0.6640742599841563,0.3462902019151578,0.9972222222222222,0.8940914158305462,0.05,0.98,3.37,119,cylinder-bands
XGB_2,1.0,0.8981481481481481,1.0,0.8793233082706766,1.0,0.7725880551301685,0.6791932659915261,0.3198506940837623,1.0,0.8793233082706766,0.06,0.98,3.65,111,cylinder-bands
RF_2,1.0,1.0,1.0,1.0,1.0,1.0,0.6471058439335028,0.6892948936661631,1.0,1.0,0.33,1.0,2.14,36,wdbc
XGB_2,1.0,0.9912280701754386,1.0,0.9919354838709676,1.0,0.9823474759987612,0.6471058439335028,0.6457791212799504,1.0,0.9919354838709676,0.37,1.0,2.12,32,wdbc
RF_0,1.0,0.8666666666666667,1.0,0.8736307413888514,1.0,0.8401997503121099,1.7911844277746278,1.389678484867318,1.0,0.8736307413888514,0.38,1.0,2.84,57,kdd-synthetic-control
XGB_1,1.0,0.8166666666666667,1.0,0.8128430624728916,1.0,0.78009162848813,1.7911844277746278,1.2842065338202473,1.0,0.8128430624728916,0.19,0.99,2.73,84,kdd-synthetic-control
RF_2,0.92,0.912,0.7077533686531865,0.6865384615384617,0.8525834746075035,0.834814992791927,0.5946686072030192,0.5386297369382042,0.7077533686531865,0.6865384615384617,0.18,0.95,3.28,85,balance-scale
XGB_2,0.916,0.872,0.7195247898218851,0.6581554460864806,0.8456608654750706,0.7608513691259118,0.5786785337907626,0.4265314241803227,0.7195247898218851,0.6581554460864806,0.18,0.94,3.34,93,balance-scale
RF_1,0.9542124542124544,0.9343065693430656,0.9656403153633072,0.9205513784461152,0.9496490186169526,0.9279284545241993,2.4907529083093376,2.429712558236323,0.9656403153633072,0.9205513784461152,0.45,0.95,3.25,59,soybean
XGB_0,0.9597069597069596,0.948905109489051,0.959150652905286,0.9302005012531328,0.9556304159925534,0.9439771001285197,2.4853354816547206,2.478896821704329,0.959150652905286,0.9302005012531328,0.5,0.9,2.81,53,soybean
RF_2,0.9891304347826086,0.8985507246376812,0.9878641752059474,0.8964646464646464,0.9777715137115934,0.7959442332065906,0.6248181571750502,0.3692544913133601,0.9878641752059474,0.8964646464646464,0.13,1.0,3.6,105,credit-a
XGB_2,0.9891304347826086,0.8695652173913043,0.9873417721518988,0.8609750904832871,0.97774821622929,0.731923159939564,0.6291054789611659,0.3029202712779312,0.9873417721518988,0.8609750904832871,0.14,1.0,3.66,103,credit-a
RF_1,0.996422182468694,0.9928571428571428,0.9948979591836736,0.9888888888888888,0.9921246530761754,0.983529411764706,0.625636569924918,0.5882335767480413,0.9948979591836736,0.9888888888888888,0.44,1.0,3.34,38,breast-w
XGB_0,0.998211091234347,0.95,0.99746192893401,0.9315511867657637,0.99607617416452,0.880195599022005,0.636597839166684,0.4182802514802072,0.99746192893401,0.9315511867657637,0.4,0.99,3.05,38,breast-w
RF_2,1.0,0.8506493506493507,1.0,0.8635204081632653,1.0,0.6925880923450789,0.6455099710688981,0.2748351091498653,1.0,0.8635204081632653,0.06,1.0,3.49,172,diabetes
XGB_0,0.973941368078176,0.9025974025974026,0.9712444771723122,0.8900709219858156,0.9398820160086162,0.7920792079207921,0.5063831059156172,0.3493698365166295,0.9712444771723122,0.8900709219858156,0.1,0.98,3.4,131,diabetes
RF_0,0.9970414201183432,0.7411764705882353,0.9971470836855452,0.7338017659495089,0.996052024505481,0.6564394635311409,1.366849837046968,0.7762566638050947,0.9971470836855452,0.7338017659495089,0.06,0.98,3.64,176,vehicle
XGB_0,0.985207100591716,0.7529411764705882,0.9855378100826888,0.7489539565826331,0.9802593155005256,0.6728672225785761,1.3144053263865552,0.773846001406634,0.9855378100826888,0.7489539565826331,0.07,0.97,3.73,171,vehicle
RF_1,0.9856396866840732,0.9635416666666666,0.9881331676270102,0.957792207792208,0.9685190581870624,0.9188993482983344,0.5794769356848011,0.4876326434913177,0.9881331676270102,0.957792207792208,0.13,0.97,3.43,30,tic-tac-toe
XGB_2,1.0,0.9739583333333334,1.0,0.9621212121212122,1.0,0.94121969140338,0.6449053283177895,0.5329074931167161,1.0,0.9621212121212122,0.11,0.99,3.35,26,tic-tac-toe
RF_2,0.9153645833333334,0.922279792746114,0.9103402199609416,0.9167755991285402,0.8275361718005058,0.8409253255673389,0.4024008298884028,0.4163351799847745,0.9103402199609416,0.9167755991285402,0.24,0.98,4.29,124,mammographic-masses
XGB_0,0.9921875,0.9637305699481864,0.9919143356643356,0.9650076070419472,0.9842588543944032,0.9268424757675854,0.6442264037036909,0.5362522552211318,0.9919143356643356,0.9650076070419472,0.35,1.0,3.03,33,mammographic-masses
RF_2,1.0,0.909952606635071,1.0,0.889080459770115,1.0,0.7879172618102946,0.6394830966454055,0.3220220313716918,1.0,0.889080459770115,0.06,1.0,3.35,180,qsar-biodeg
XGB_0,0.9845971563981044,0.933649289099526,0.9820003195398626,0.9074937810945274,0.9649071183665114,0.8418629550321199,0.5522556031024635,0.3816944135427319,0.9820003195398626,0.9074937810945274,0.1,0.99,3.12,125,qsar-biodeg
RF_0,0.913657770800628,0.799373040752351,0.9132598487533988,0.8030882417417592,0.9040445883859306,0.777037579040484,1.909701878007351,1.5719699568956362,0.9132598487533988,0.8030882417417592,0.28,0.93,5.51,266,semeion
XGB_1,0.9277864992150706,0.8307210031347962,0.9278236818697454,0.8388575165026777,0.9197514381450428,0.8116059320180236,1.94825672123608,1.660920057820833,0.9278236818697454,0.8388575165026777,0.2,0.91,5.04,282,semeion
RF_2,0.987698986975398,0.9710982658959536,0.9684814984534312,0.957568128946494,0.97260983056894,0.9391616261077508,0.7690002791719001,0.7647443584775602,0.9684814984534312,0.957568128946494,0.1,0.98,4.8,87,car
XGB_1,0.9450072358900145,0.8901734104046243,0.7402691698170848,0.6454752694114395,0.8759261359340742,0.7637461367066772,0.5935637967234139,0.48492620887305,0.7402691698170848,0.6454752694114395,0.1,0.91,4.84,93,car
RF_2,0.99,0.7325,0.9903530184070324,0.7359114458398872,0.9888869788383768,0.7026848667986523,2.2543653402872703,1.4491096849944531,0.9903530184070324,0.7359114458398872,0.07,0.92,3.3,501,cmc
XGB_1,0.99375,0.7225,0.9939655191502798,0.7288196006554843,0.9930544552413902,0.6923801737636317,2.27038704439948,1.468227816977799,0.9939655191502798,0.7288196006554843,0.07,0.92,3.2,489,cmc
RF_0,1.0,1.0,1.0,1.0,1.0,1.0,0.3734399346716082,0.4487318132019497,1.0,1.0,0.58,1.0,1.75,4,titanic
XGB_0,1.0,1.0,1.0,1.0,1.0,1.0,0.3734399346716082,0.4487318132019497,1.0,1.0,0.58,1.0,1.75,4,titanic
RF_0,0.9983766233766234,0.9545454545454546,0.9983193277310924,0.958524471846078,0.9981057707025868,0.9468479672168868,1.936598201093489,1.7432675092207568,0.9983193277310924,0.958524471846078,0.23,1.0,3.51,82,segment
XGB_1,1.0,0.935064935064935,1.0,0.9393436609629704,1.0,0.9241204874683836,1.9454557949138147,1.678338198646891,1.0,0.9393436609629704,0.19,0.99,3.42,92,segment
RF_0,0.9641993226898888,0.986460348162476,0.7218045112781954,0.4951456310679611,0.5987144843508146,-0.0055570991942206,0.0854531075162541,3.766803708894935e-05,0.7218045112781954,0.4951456310679611,0.07,1.0,3.68,253,seismic-bumps
XGB_2,0.9927431059506532,0.9729206963249516,0.943181818181818,0.7420792079207921,0.935912938331318,0.4477338623531207,0.1949086292015726,0.0288578535759436,0.943181818181818,0.7420792079207921,0.05,0.96,3.44,273,seismic-bumps
RF_1,1.0,0.7711538461538462,1.0,0.7716614113780699,1.0,0.5425918807841281,0.6930431643794752,0.1560107150791628,1.0,0.7716614113780699,0.01,1.0,3.75,661,madelon
XGB_2,1.0,0.7961538461538461,1.0,0.7963168568933103,1.0,0.5922654712766116,0.6930431643794752,0.1875643849008114,1.0,0.7963168568933103,0.02,1.0,3.91,574,madelon
RF_1,0.9619309262166404,0.9670846394984326,0.9562867423279324,0.9636113258844872,0.9383222666309976,0.9451513067400276,0.8494253344886491,0.8503625473856598,0.9562867423279324,0.9636113258844872,0.1,0.99,4.75,257,dna
XGB_0,0.9658555729984302,0.9686520376175548,0.96491119544571,0.9691518737672584,0.9453528230652324,0.9488560755455084,0.891408423160925,0.8811405367152421,0.96491119544571,0.9691518737672584,0.2,0.97,5.46,136,dna
RF_2,0.9713949843260188,0.974921630094044,0.9702516577032676,0.9755973193473192,0.9534242301207446,0.9599362622353744,0.8809242591400543,0.9213590464628628,0.9702516577032676,0.9755973193473192,0.12,0.99,4.46,257,splice
XGB_1,0.9710031347962382,0.9592476489028212,0.9686705857138485,0.9557275037466604,0.952674015366009,0.9355570577220422,0.8752389646922535,0.8679340392730317,0.9686705857138485,0.9557275037466604,0.12,0.98,4.88,267,splice
RF_0,0.9953051643192488,0.978125,0.9953289511204816,0.9775636317340932,0.9905959399920896,0.9560823064631552,0.662595983508376,0.5879745447591931,0.9953289511204816,0.9775636317340932,0.13,0.99,3.96,45,kr-vs-kp
XGB_1,0.9996087636932708,0.9890625,0.9996243425995492,0.9895898805782526,0.9992162048121837,0.9780271521619712,0.6891136515270884,0.6336813715117189,0.9996243425995492,0.9895898805782526,0.13,0.99,4.42,48,kr-vs-kp
RF_2,1.0,0.9886363636363636,1.0,0.9754848504287212,1.0,0.8930880758263384,0.2063884972421342,0.1657811228548973,1.0,0.9754848504287212,0.1,0.97,2.71,121,wilt
XGB_1,1.0,0.9886363636363636,1.0,0.9427163198247536,1.0,0.8930623066725586,0.2063884972421342,0.1635806118224226,1.0,0.9427163198247536,0.09,0.95,2.74,119,wilt
RF_0,0.9795,0.956,0.9518145405995873,0.8987332449550745,0.9108271596547272,0.7974664899101488,0.2994929041265777,0.2140783937897297,0.9518145405995873,0.8987332449550745,0.03,0.98,4.33,478,churn
XGB_2,1.0,0.944,1.0,0.8287203516036468,1.0,0.7211155378486056,0.3934536342603935,0.1697472733301862,1.0,0.8287203516036468,0.03,0.98,4.45,418,churn
RF_2,0.9858894286375204,0.8954671600370028,0.9763931888544892,0.8701666045008082,0.965868218132869,0.7452083024802731,0.5405365309153736,0.2774144734736896,0.9763931888544892,0.8701666045008082,0.02,1.0,3.33,824,phoneme
XGB_2,0.9777931991672448,0.8908418131359852,0.9841636423622566,0.890283281960957,0.9481178260212966,0.750108726741293,0.5291599721573503,0.2977900628131874,0.9841636423622566,0.890283281960957,0.02,0.99,3.21,795,phoneme
RF_0,1.0,0.988095238095238,1.0,0.9871455895589558,1.0,0.9820292651063168,1.1889630203426622,1.125765038606325,1.0,0.9871455895589558,0.19,1.0,4.31,124,wall-robot-navigation
XGB_0,1.0,0.9835164835164836,1.0,0.9823986030864686,1.0,0.9750076607063616,1.1889630203426622,1.096650691452988,1.0,0.9823986030864686,0.16,1.0,4.35,162,wall-robot-navigation
RF_1,1.0,1.0,1.0,1.0,1.0,1.0,0.6925153620097683,0.692442446947224,1.0,1.0,0.25,1.0,1.88,17,mushroom
XGB_2,1.0,1.0,1.0,1.0,1.0,1.0,0.6925153620097683,0.692442446947224,1.0,1.0,0.23,1.0,2.12,16,mushroom
RF_2,0.999635878140551,0.9063106796116503,0.9996456413890856,0.9075165749882445,0.9995619260825368,0.8872312460042512,1.782601223331605,1.3979428976743076,0.9996456413890856,0.9075165749882445,0.04,0.98,3.17,915,har
RF_1,0.9918001157630716,0.9868827160493828,0.9615600017916116,0.9546070714264484,0.9879676419958148,0.9806985855747946,1.1440505106568812,1.108095390266242,0.9615600017916116,0.9546070714264484,0.06,0.99,5.18,226,nursery
RF_2,0.9604671405773972,0.9664877411867112,0.945416528405752,0.9539161222818556,0.9019054198216144,0.916746598210234,0.4322619661913091,0.450380906944132,0.945416528405752,0.9539161222818556,0.04,1.0,3.89,2078,nomao
XGB_2,0.9927825330044974,0.9683737124619178,0.9882359912375956,0.953136413840962,0.9822042945383486,0.9211824877014334,0.555841675529055,0.4576101873980986,0.9882359912375956,0.953136413840962,0.04,1.0,4.2,2278,nomao
