dataset,model_type,model_number,bacc_train,bacc_test,kappa_train,kappa_test,recall_train,recall_test,model,size
cylinder-bands,RF,0,1,0.6409011220196353,1,0.2783841703281254,1,0.7991935483870968,RF_0,540
cylinder-bands,SVC,1,0.8287222694769161,0.61872131199796,0.667072447443426,0.23130860015586943,0.9006342145399084,0.7245967741935484,SVC_1,540
cylinder-bands,XGB,2,1,0.6079527524544179,1,0.20816432658798084,1,0.6898185483870968,XGB_2,540
wdbc,RF,2,1,0.962020202020202,1,0.927830305088361,1,0.962020202020202,RF_2,569
wdbc,SVC,1,0.961584362980844,0.9493217893217892,0.9273975715717472,0.9015421491078788,0.961584362980844,0.9493217893217892,SVC_1,569
wdbc,XGB,2,1,0.9707323232323232,1,0.9468072435787896,1,0.9707323232323232,XGB_2,569
kdd-synthetic-control,RF,0,1,0.9883333333333334,1,0.986,1,0.9883333333333334,RF_0,600
kdd-synthetic-control,SVC,0,0.9975925925925926,0.995,0.9971111111111112,0.994,0.9975925925925926,0.995,SVC_0,600
kdd-synthetic-control,XGB,1,1,0.9766666666666668,1,0.972,1,0.9766666666666668,XGB_1,600
balance-scale,RF,2,1,0.5119458128078818,1,0.48901857870177934,1,0.5119458128078818,RF_2,625
balance-scale,SVC,1,0.9172397172397172,0.917832512315271,0.8592961874891344,0.8613093136673934,0.9172397172397172,0.917832512315271,SVC_1,625
balance-scale,XGB,2,1,0.6506896551724138,1,0.6721991446968815,1,0.6506896551724138,XGB_2,625
soybean,RF,1,0.9994857287754164,0.9685412605588044,0.9985730065560968,0.9309375028605826,0.9994857287754164,0.9685412605588044,RF_1,683
soybean,SVC,0,0.976162645160588,0.9573099415204678,0.9534230844161178,0.9292287657694476,0.976162645160588,0.9573099415204678,SVC_0,683
soybean,XGB,0,0.9937637680470373,0.96046783625731,0.9827008089369932,0.927720524518175,0.9937637680470373,0.96046783625731,XGB_0,683
credit-a,RF,2,1,0.8453517478559924,1,0.6933560379097764,1,0.8453517478559924,RF_2,690
credit-a,SVC,0,0.6228914844273774,0.6205735492577598,0.2615560729962595,0.25684972693076746,0.6228914844273774,0.6205735492577598,SVC_0,690
credit-a,XGB,2,1,0.8443245831700841,1,0.6898609745256741,1,0.8443245831700841,XGB_2,690
breast-w,RF,1,1,0.9641231884057972,1,0.9275827511404012,1,0.9641231884057972,RF_1,699
breast-w,SVC,0,0.9763682824908188,0.9691714975845412,0.9452076361008502,0.9313940243901024,0.9763682824908188,0.9691714975845412,SVC_0,699
breast-w,XGB,0,0.9912788706887092,0.9587789855072464,0.9782884382541202,0.91502150358674,0.9912788706887092,0.9587789855072464,XGB_0,699
diabetes,RF,2,1,0.7201082621082621,1,0.45930119065428,1,0.7201082621082621,RF_2,768
diabetes,SVC,1,0.7304558676161845,0.7197663817663817,0.48514759680107106,0.4615079153265159,0.7304558676161845,0.7197663817663817,SVC_1,768
diabetes,XGB,0,0.8607018849376451,0.7336210826210826,0.7373560318335631,0.4787809597022037,0.8607018849376451,0.7336210826210826,XGB_0,768
vehicle,RF,0,1,0.7660976304397357,1,0.6846343794096216,1,0.7660976304397357,RF_0,846
vehicle,SVC,1,0.8480467267579146,0.8014493620414672,0.7944976109747911,0.7321837464522034,0.8480467267579146,0.8014493620414672,SVC_1,846
vehicle,XGB,0,0.9501339440349584,0.7793389724310776,0.9325582771263848,0.7022294602811584,0.9501339440349584,0.7793389724310776,XGB_0,846
tic-tac-toe,RF,1,1,0.917695866225278,1,0.8393536439310598,1,0.917695866225278,RF_1,958
tic-tac-toe,SVC,1,0.9759017754932552,0.9757575757575756,0.9626510517151904,0.958103638368247,0.9759017754932552,0.9757575757575756,SVC_1,958
tic-tac-toe,XGB,2,1,0.9027862660215602,1,0.792038028270474,1,0.9027862660215602,XGB_2,958
mammographic-masses,RF,2,0.9368325447273548,0.7895234014351662,0.8731240743459678,0.579196899838651,0.9368325447273548,0.7895234014351662,RF_2,961
mammographic-masses,SVC,1,0.8245630358891426,0.8173363727775492,0.6530767171036429,0.6398228358369286,0.8245630358891426,0.8173363727775492,SVC_1,961
