left_weight;left_distance;right_weight;right_distance;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
5.0;1.0;3.0;5.0;2;2;right_distance > 4.00 AND right_weight > 2.00 AND left_distance <= 2.00;3;1.0;0.0529;1.0;0.11304347826086956
4.0;4.0;4.0;5.0;2;2;right_distance > 4.00 AND right_weight > 3.00 AND left_weight <= 4.00;3;0.9785714285714285;0.069;0.9714285714285714;0.14782608695652175
1.0;1.0;2.0;2.0;2;2;left_weight <= 2.00 AND left_distance <= 2.00;2;0.8755074424898511;0.1657;0.8433734939759037;0.30434782608695654
1.0;5.0;1.0;5.0;0;0;right_distance > 4.00 AND left_distance > 4.00 AND left_weight <= 2.00 AND right_weight <= 2.00;4;0.5327868852459017;0.0068;0.75;0.07692307692307693
1.0;5.0;3.0;5.0;2;2;right_distance > 4.00 AND left_weight <= 2.00 AND right_weight > 2.00;3;1.0;0.0542;1.0;0.11739130434782609
4.0;5.0;1.0;3.0;1;1;left_distance > 4.00 AND left_weight > 3.00 AND right_weight <= 2.00;3;1.0;0.0327;1.0;0.07264957264957266
4.0;5.0;5.0;2.0;1;1;left_distance > 4.00 AND left_weight > 3.00 AND right_distance <= 2.00;3;1.0;0.0307;1.0;0.06837606837606838
4.0;5.0;4.0;5.0;0;0;right_distance > 4.00 AND left_distance > 4.00 AND 3.00 < right_weight <= 4.00 AND 3.00 < left_weight <= 4.00;4;1.0;0.0017;1.0;0.05128205128205128
5.0;3.0;4.0;4.0;2;2;right_distance > 3.00 AND right_weight > 3.00 AND left_distance <= 3.00;3;1.0;0.0933;1.0;0.2217391304347826
4.0;3.0;1.0;4.0;1;1;left_weight > 3.00 AND right_weight <= 2.00 AND left_distance > 2.00;3;1.0;0.0874;1.0;0.19658119658119658
3.0;3.0;1.0;5.0;1;1;right_weight <= 2.00 AND left_weight > 2.00 AND left_distance > 2.00;3;0.9936908517350158;0.1374;0.9859154929577465;0.29914529914529914
4.0;2.0;4.0;1.0;1;1;right_distance <= 2.00 AND left_weight > 3.00 AND right_weight <= 4.00;3;0.9030172413793104;0.1428;0.9154929577464789;0.2777777777777778
4.0;1.0;5.0;5.0;2;2;right_distance > 4.00 AND right_weight > 4.00;2;0.9714285714285714;0.0392;0.9523809523809523;0.08695652173913043
