state;account_length;area_code;phone_number;international_plan;voice_mail_plan;number_vmail_messages;total_day_minutes;total_day_calls;total_day_charge;total_eve_minutes;total_eve_calls;total_eve_charge;total_night_minutes;total_night_calls;total_night_charge;total_intl_minutes;total_intl_calls;total_intl_charge;number_customer_service_calls;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
50.0;37.0;510.0;1045.0;0.0;1.0;33.0;225.7;133.0;38.37;223.9;115.0;19.03;192.7;131.0;8.67;11.2;5.0;3.02;3.0;0;0;voice_mail_plan > 0.00 AND phone_number <= 1258.75 AND international_plan <= 0.00;3;0.953757225433526;0.0591;0.9623430962343096;0.06635891517599539
16.0;65.0;415.0;3385.0;0.0;1.0;34.0;208.8;119.0;35.5;142.1;106.0;12.08;214.6;87.0;9.66;12.5;4.0;3.38;4.0;0;0;total_eve_minutes <= 166.60 AND voice_mail_plan > 0.00 AND international_plan <= 0.00;3;0.9657320872274143;0.0597;0.948936170212766;0.0643392960184651
46.0;97.0;415.0;35.0;0.0;0.0;0.0;112.7;119.0;19.16;217.7;109.0;18.5;152.1;76.0;6.84;6.5;5.0;1.76;1.0;0;0;total_day_minutes <= 179.70 AND number_customer_service_calls <= 1.00 AND total_intl_calls > 4.00;3;0.9795081967213115;0.1131;0.9671052631578947;0.12723600692440853
32.0;103.0;415.0;4760.0;0.0;0.0;0.0;173.5;83.0;29.5;244.3;65.0;20.77;221.6;66.0;9.97;9.7;2.0;2.62;3.0;0;0;total_day_minutes <= 179.70 AND total_day_calls <= 88.00;2;0.9672897196261683;0.1311;0.904397705544933;0.13646855164454702
29.0;174.0;415.0;182.0;0.0;0.0;0.0;124.3;76.0;21.13;277.1;112.0;23.55;250.7;115.0;11.28;15.5;5.0;4.19;3.0;0;0;total_day_charge <= 36.65 AND international_plan <= 0.00 AND total_day_minutes <= 215.60;3;0.9517601043024772;0.6906;0.936565803864382;0.741200230813618
46.0;80.0;415.0;794.0;0.0;0.0;0.0;160.6;103.0;27.3;237.0;109.0;20.15;245.1;88.0;11.03;10.7;1.0;2.89;1.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00 AND international_plan <= 0.00;3;0.967391304347826;0.5545;0.9756992205410362;0.6139642238892095
40.0;64.0;510.0;1158.0;0.0;1.0;37.0;154.6;92.0;26.28;83.4;103.0;7.09;165.9;99.0;7.47;13.3;3.0;3.59;1.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00;2;0.9508670520231214;0.5998;0.9483627204030227;0.6517599538372764
35.0;146.0;415.0;1631.0;0.0;0.0;0.0;169.5;93.0;28.82;230.9;71.0;19.63;269.8;115.0;12.14;9.0;7.0;2.43;2.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00 AND international_plan <= 0.00;3;0.9774193548387097;0.5425;0.9756992205410362;0.6139642238892095
32.0;158.0;408.0;2570.0;0.0;0.0;0.0;172.4;114.0;29.31;256.6;69.0;21.81;235.3;104.0;10.59;0.0;0.0;0.0;2.0;0;0;total_day_minutes <= 179.70 AND number_customer_service_calls <= 2.00;2;0.9549668874172186;0.4045;0.9491844416562107;0.4365262550490479
16.0;152.0;408.0;1605.0;0.0;1.0;39.0;243.1;137.0;41.33;236.7;103.0;20.12;191.2;118.0;8.6;9.9;3.0;2.67;1.0;0;0;voice_mail_plan > 0.00 AND number_customer_service_calls <= 1.00;2;0.952561669829222;0.157;0.9581993569131833;0.17195614541257934
22.0;105.0;415.0;934.0;0.0;1.0;29.0;179.4;113.0;30.5;275.4;100.0;23.41;246.1;105.0;11.07;10.0;5.0;2.7;0.0;0;0;number_customer_service_calls <= 1.00 AND voice_mail_plan > 0.00;2;0.9840637450199203;0.1589;0.9581993569131833;0.17195614541257934
