state;account_length;area_code;phone_number;international_plan;voice_mail_plan;number_vmail_messages;total_day_minutes;total_day_calls;total_day_charge;total_eve_minutes;total_eve_calls;total_eve_charge;total_night_minutes;total_night_calls;total_night_charge;total_intl_minutes;total_intl_calls;total_intl_charge;number_customer_service_calls;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
50.0;37.0;510.0;1045.0;0.0;1.0;33.0;225.7;133.0;38.37;223.9;115.0;19.03;192.7;131.0;8.67;11.2;5.0;3.02;3.0;0;0;voice_mail_plan > 0.00 AND international_plan <= 0.00;2;0.9731404958677686;0.2413;0.9614181438998958;0.2660126947489902
16.0;65.0;415.0;3385.0;0.0;1.0;34.0;208.8;119.0;35.5;142.1;106.0;12.08;214.6;87.0;9.66;12.5;4.0;3.38;4.0;0;0;voice_mail_plan > 0.00 AND international_plan <= 0.00;2;0.9541984732824428;0.2431;0.9614181438998958;0.2660126947489902
46.0;97.0;415.0;35.0;0.0;0.0;0.0;112.7;119.0;19.16;217.7;109.0;18.5;152.1;76.0;6.84;6.5;5.0;1.76;1.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00;2;0.9532163742690059;0.5916;0.9483627204030227;0.6517599538372764
32.0;103.0;415.0;4760.0;0.0;0.0;0.0;173.5;83.0;29.5;244.3;65.0;20.77;221.6;66.0;9.97;9.7;2.0;2.62;3.0;0;0;total_day_minutes <= 215.60;1;0.9825581395348837;0.7548;0.9081225033288948;0.7870744373918062
29.0;174.0;415.0;182.0;0.0;0.0;0.0;124.3;76.0;21.13;277.1;112.0;23.55;250.7;115.0;11.28;15.5;5.0;4.19;3.0;0;0;total_day_minutes <= 215.60 AND total_intl_calls > 4.00;2;0.9652509652509652;0.302;0.933115823817292;0.33006347374495093
46.0;80.0;415.0;794.0;0.0;0.0;0.0;160.6;103.0;27.3;237.0;109.0;20.15;245.1;88.0;11.03;10.7;1.0;2.89;1.0;0;0;number_customer_service_calls <= 1.00 AND total_day_charge <= 36.65;2;0.9628610729023384;0.4271;0.9495305164319249;0.4668205424120023
40.0;64.0;510.0;1158.0;0.0;1.0;37.0;154.6;92.0;26.28;83.4;103.0;7.09;165.9;99.0;7.47;13.3;3.0;3.59;1.0;0;0;number_customer_service_calls <= 1.00 AND voice_mail_plan > 0.00;2;0.9815384615384616;0.1593;0.9581993569131833;0.17195614541257934
35.0;146.0;415.0;1631.0;0.0;0.0;0.0;169.5;93.0;28.82;230.9;71.0;19.63;269.8;115.0;12.14;9.0;7.0;2.43;2.0;0;0;number_customer_service_calls <= 2.00 AND total_day_charge <= 36.65;2;0.959731543624161;0.5921;0.9483627204030227;0.6517599538372764
32.0;158.0;408.0;2570.0;0.0;0.0;0.0;172.4;114.0;29.31;256.6;69.0;21.81;235.3;104.0;10.59;0.0;0.0;0.0;2.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00;2;0.9597402597402598;0.5988;0.9483627204030227;0.6517599538372764
16.0;152.0;408.0;1605.0;0.0;1.0;39.0;243.1;137.0;41.33;236.7;103.0;20.12;191.2;118.0;8.6;9.9;3.0;2.67;1.0;0;0;voice_mail_plan > 0.00 AND international_plan <= 0.00;2;0.9640062597809077;0.2338;0.9614181438998958;0.2660126947489902
22.0;105.0;415.0;934.0;0.0;1.0;29.0;179.4;113.0;30.5;275.4;100.0;23.41;246.1;105.0;11.07;10.0;5.0;2.7;0.0;0;0;number_customer_service_calls <= 1.00 AND total_day_minutes <= 215.60;2;0.9586206896551724;0.4282;0.9495305164319249;0.4668205424120023
9.0;151.0;415.0;4047.0;0.0;0.0;0.0;175.7;91.0;29.87;152.3;127.0;12.95;140.0;88.0;6.3;10.7;10.0;2.89;1.0;0;0;number_customer_service_calls <= 1.00 AND total_eve_minutes <= 166.60;2;0.9619377162629758;0.1392;0.9541446208112875;0.15608770917484133
20.0;116.0;408.0;4071.0;0.0;0.0;0.0;159.4;79.0;27.1;179.5;88.0;15.26;167.8;71.0;7.55;9.7;2.0;2.62;6.0;1;1;number_customer_service_calls > 2.00 AND 24.43 < total_day_charge <= 30.55 AND 166.60 < total_eve_minutes <= 201.00 AND 143.67 < total_day_minutes <= 179.70 AND total_intl_calls <= 3.00 AND total_night_minutes <= 199.70 AND number_vmail_messages <= 0.00 AND phone_number > 3768.25 AND 13.00 < state <= 26.00 AND voice_mail_plan <= 0.00 AND total_night_charge <= 8.99 AND total_day_calls <= 88.00 AND 87.00 < total_eve_calls <= 101.00 AND 2.30 < total_intl_charge <= 2.78 AND 100.00 < account_length <= 127.00 AND area_code <= 415.00 AND total_eve_charge <= 17.09 AND total_intl_minutes <= 12.10;18;0.6365461847389559;0.0;1.0;0.0037313432835820895
3.0;70.0;415.0;1287.0;0.0;0.0;0.0;104.7;112.0;17.8;82.2;104.0;6.99;169.4;110.0;7.62;15.8;7.0;4.27;3.0;0;0;total_eve_minutes <= 166.60 AND international_plan <= 0.00;2;0.9513677811550152;0.2261;0.9372937293729373;0.24581650317368725
25.0;137.0;510.0;981.0;0.0;0.0;0.0;147.2;119.0;25.02;192.8;91.0;16.39;172.7;105.0;7.77;10.2;4.0;2.75;1.0;0;0;number_customer_service_calls <= 1.00 AND total_day_minutes <= 215.60 AND international_plan <= 0.00;3;0.9712918660287081;0.3979;0.9762516046213093;0.4388343912290825
22.0;81.0;415.0;4253.0;0.0;0.0;0.0;153.5;99.0;26.1;197.6;102.0;16.8;198.5;86.0;8.93;6.3;2.0;1.7;2.0;0;0;total_day_minutes <= 215.60 AND international_plan <= 0.00;2;0.9583333333333334;0.6855;0.936565803864382;0.741200230813618
49.0;131.0;415.0;1827.0;0.0;0.0;0.0;196.1;89.0;33.34;185.5;87.0;15.77;250.0;132.0;11.25;5.2;6.0;1.4;2.0;0;0;total_day_minutes <= 215.60 AND number_customer_service_calls <= 2.00;2;0.9572815533980582;0.5985;0.9483627204030227;0.6517599538372764
