att1;att2;att3;att4;att5;att6;att7;att8;att9;att10;att11;att12;att13;att14;att15;att16;att17;att18;att19;att20;att21;att22;att23;att24;att25;att26;att27;att28;att29;att30;att31;att32;att33;att34;att35;att36;att37;att38;att39;att40;att41;att42;att43;att44;att45;att46;att47;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
0.10086236;2.14426691;9.66082065;50.63588835;37.89731598;35.16014717;111.7024031;0.16181021;4.79485508;47.45606859;177.74249727;164.77848317;114.85680494;0.25595684;3.18285493;30.50689562;74.31507882;74.38305721;93.2027999;0.61067803;14.59512451;103.61357324;133.31632259;64.79803655;0.4833575;11.16901941;65.71373958;171.04508965;6.87029568;2.17597655;38.57190898;98.33134902;93.63974326;1.92698083;32.0514123;188.06109442;212.2111193;6.95790943;50.03953805;130.65050456;7.06166982;118.19957332;414.11053928;12.17338404;103.59409911;33.58928745;430.17247326;4;4;att6 <= 166.52 AND att46 <= 46.49 AND att30 > 1.62 AND att24 <= 72.89;4;0.9566666666666667;0.0044;1.0;0.04046242774566474
0.04204688;0.7460673;2.70983556;30.72432402;88.25294222;280.85881949;154.73188013;0.11013741;3.98198866;42.21284496;156.31585014;272.36319358;118.77936934;0.09153415;1.37618002;17.15720706;45.12716646;151.19052527;37.62207626;0.51090444;13.13454362;85.36461677;174.18950284;156.82469644;0.24846743;6.14271706;36.98256057;97.33271505;49.37572491;1.96795588;30.22038872;76.26717121;104.07904054;1.05329916;19.65599919;197.16721606;82.05207802;5.25590687;20.58184823;138.30495001;4.54921692;148.94944557;348.39069139;2.59307783;139.89035373;45.52558425;450.60742776;9;6;att18 <= 201.25 AND att12 > 175.19 AND att15 <= 3.58 AND att46 <= 62.88 AND att17 <= 134.68 AND att29 <= 58.48 AND att44 <= 4.43 AND att14 <= 0.11;8;0.995575221238938;0.0114;0.2;0.021052631578947368
0.42145793;2.27015021;31.46205362;22.83819428;160.37325849;89.34523802;258.10086863;0.34597415;7.07363363;87.54066516;112.23119705;176.27077773;114.22901496;0.29919451;10.98020466;36.17665679;170.35156998;78.68553241;198.1419848;0.92680276;31.09700476;82.97226984;115.58025718;211.5343326;1.74634125;19.55893525;111.1746592;212.87196641;16.99653793;5.15466199;37.59585948;81.20739863;174.74723408;4.18046423;44.15086897;309.68548092;13.44507201;7.82217728;45.09267466;90.33893752;8.37488872;224.25644299;180.4273998;11.77033436;119.97057458;68.65974064;328.6894368;7;7;att27 > 69.81 AND att30 > 1.62 AND att43 <= 329.72 AND att47 <= 454.73 AND att24 > 174.77 AND att31 > 28.64 AND att46 > 62.88;7;0.979328165374677;0.0286;0.9791666666666666;0.28313253012048195
0.0393283;2.37628503;28.29216698;86.25623776;67.46523515;265.45457141;98.31017971;0.01796277;1.73548385;23.73161322;103.86453156;175.77438265;127.94642862;0.27754802;7.76071479;43.53541113;110.61997427;152.60897948;100.69474158;0.22212482;7.2831859;60.40326908;135.89645346;121.0770167;1.04065344;14.098468;88.68593563;156.00410897;61.72225523;1.08136181;22.41552209;101.20978001;100.45290776;2.2309842;40.70264162;232.45289639;154.64956482;4.02675701;51.5708589;134.42396958;8.61716154;164.92082136;443.08342518;12.45911622;117.2766861;49.26326414;519.82072898;5;9;att23 > 58.35 AND att12 > 175.19 AND att37 > 91.67 AND att5 <= 69.73 AND att40 > 56.78 AND att29 <= 113.19 AND att43 > 329.72 AND att6 > 166.52 AND att45 > 84.60 AND 141.25 < att28 <= 192.68 AND att7 <= 131.51 AND att33 <= 163.38 AND att19 <= 177.56 AND att36 <= 316.55 AND att13 > 121.03 AND att8 <= 0.09;16;0.9562289562289562;0.008;1.0;0.1079136690647482
0.14098298;3.43743781;41.05899037;119.29068421;124.20672597;289.81037959;90.49212819;0.21983108;3.2110698;21.12167428;108.43412795;130.40312849;155.14171617;0.42251686;12.07752003;70.38144368;114.79827745;192.23630645;17.97464362;0.45946016;7.16842662;76.75123223;135.11409423;87.0804296;1.70776933;25.55885915;80.74139073;195.60587335;24.05383898;1.16108111;32.26161796;130.28676797;33.35945483;4.39543121;36.54758758;234.29701624;226.17406897;6.29177397;73.8181088;110.12768402;7.8666813;158.14052756;502.9801306;18.76313281;97.75832852;46.55261421;562.09811735;5;5;att28 > 192.68 AND att6 > 257.17 AND att14 > 0.28 AND att18 > 145.75 AND att45 <= 128.56 AND att43 > 329.72 AND att27 > 69.81 AND att33 <= 104.91 AND att29 <= 58.48 AND att12 <= 175.19 AND att36 > 223.19 AND att35 > 32.25 AND att7 <= 131.51;13;0.9528619528619529;0.0016;1.0;0.02
0.0191085;1.24531956;17.82872774;71.20003549;103.91260114;265.17505132;176.28806696;0.05971595;0.72902742;18.74662835;101.95603682;251.7026492;239.85181009;0.14181066;4.88482944;35.83289975;84.16380821;93.2755638;8.72287148;0.08042942;5.65435671;56.53006127;149.15004364;209.42735341;0.6529497;11.59850837;51.20595353;119.67569649;45.24431381;0.82847102;20.12312629;70.00420312;73.64544175;1.83456785;20.59656237;201.14514108;140.36138741;3.50239091;25.91388164;120.25223754;4.07090247;140.54410057;421.49753141;5.53048484;131.50625783;41.34140286;498.45258612;9;9;att18 <= 97.21 AND att12 > 175.19 AND att39 <= 30.93 AND att37 > 91.67 AND att29 <= 58.48;5;0.9848812095032398;0.0196;0.9375;0.2158273381294964
0.04756591;1.69693791;28.30159829;122.44091844;162.70430611;321.59455969;61.82469082;0.09509716;1.18555405;16.25681092;81.29876634;137.26704761;185.63443186;0.19778751;7.93546175;64.01107054;121.11097503;179.48142338;224.53752961;0.14942768;5.37996911;47.42246251;117.47883079;181.26179377;1.07837384;21.27742174;76.48174525;130.13661205;287.35895814;0.83714436;17.47740817;87.32003939;147.21969162;3.43184782;32.47568925;204.89451367;96.00137278;3.11509161;42.87109173;178.98113925;6.68647539;147.87904004;228.59171406;10.04788183;149.98144724;44.34408956;378.62377142;7;7;att24 > 174.77 AND att43 <= 329.72 AND att11 > 77.24 AND att47 <= 454.73 AND att45 > 84.60 AND att34 > 3.39 AND att13 > 177.86;7;0.9611307420494699;0.0284;1.0;0.2710843373493976
0.03968799;2.30404084;24.70246381;34.90042973;70.08672965;207.94828774;117.90951979;0.18734194;1.94509688;39.02270029;188.87267585;193.63197644;123.87546852;0.28190209;7.48763008;22.90176166;85.0156988;101.40719016;106.71364969;0.25934092;12.16179362;121.61442493;258.29743557;164.76610553;1.07548029;8.8409911;61.85748863;142.27206222;18.99644013;1.82600637;47.80217563;217.58846906;205.76475247;1.57778313;27.13828546;203.83981392;217.70082432;8.8978933;111.27312085;210.03005381;5.6117699;141.38693514;483.95574296;26.60585018;144.6122322;41.85551966;529.04376796;1;1;att32 > 97.16 AND att37 > 163.43 AND att43 > 458.17 AND att6 <= 257.17 AND att23 > 138.72 AND att33 > 163.38 AND att45 > 128.56;7;0.9529780564263323;0.0105;1.0;0.12195121951219512
0.01652013;1.61427544;18.38706034;49.05760373;87.41363101;69.7597852;78.08478116;0.08239971;1.09076579;29.56734019;163.6695735;117.6422595;146.5441769;0.19547185;5.42596747;27.26796104;78.5955048;161.41118161;182.24453583;0.14014915;9.23963063;102.50851319;187.97885697;176.92330396;0.76342054;9.51068481;56.42321551;302.67631387;149.71595629;1.38701427;39.51055602;167.19545798;222.63096219;1.59000713;25.20309616;310.50916013;93.06560495;7.25135489;87.17420431;209.61084228;5.29343541;187.03442444;393.34271175;20.99040444;133.23587235;51.77297096;475.5613367;1;1;att26 <= 13.09 AND att44 > 11.85 AND att37 > 91.67 AND att6 <= 257.17 AND att32 > 97.16 AND att23 > 138.72 AND att7 <= 131.51 AND att28 > 252.34 AND att43 > 329.72 AND att33 > 163.38 AND att29 > 113.19 AND att12 <= 120.63;12;0.96875;0.0016;1.0;0.024390243902439025
0.04484261;0.21829783;13.09016253;49.04531321;33.53739007;222.31891821;68.49350854;0.02063764;2.36222069;32.20998156;59.69231552;176.3952649;127.41903343;0.02007881;3.49207073;23.25225011;53.56430779;85.70061105;135.84051633;0.29309588;9.905676;42.69197618;138.03466019;78.82537152;0.45719283;7.21847952;51.99752977;286.3391233;174.03866561;1.46958683;17.56551712;87.71904324;70.20850151;1.1097483;25.32928929;342.42549887;84.86458536;3.33983558;38.67180993;54.3528964;5.47945483;217.07024339;451.77558999;8.54298541;30.83863439;61.28828415;566.1433095;2;2;att24 <= 174.77 AND att36 > 316.55 AND att45 <= 84.60 AND att37 <= 91.67 AND att28 > 252.34 AND att43 <= 458.17 AND att12 > 175.19 AND att6 <= 257.17 AND att33 <= 104.91 AND att23 > 100.82 AND att42 > 213.99;11;0.9791666666666666;0.0067;1.0;0.07453416149068323
