a2;a3;a8;a11;a14;a15;a1_a;a1_b;a4_l;a4_u;a4_y;a5_g;a5_gg;a5_p;a6_aa;a6_c;a6_cc;a6_d;a6_e;a6_ff;a6_i;a6_j;a6_k;a6_m;a6_q;a6_r;a6_w;a6_x;a7_bb;a7_dd;a7_ff;a7_h;a7_j;a7_n;a7_o;a7_v;a7_z;a9_f;a9_t;a10_f;a10_t;a12_f;a12_t;a13_g;a13_p;a13_s;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
24.58;13.5;0.0;0.0;160.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1;1;a9_f > 0.00;1;0.9863013698630136;0.4949;0.9444444444444444;0.8069620253164557
29.17;3.5;3.5;3.0;329.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1;1;a9_f <= 1.00 AND a15 <= 5.00 AND a14 > 160.00 AND a6_w > 0.00 AND a11 <= 3.00 AND a7_h <= 0.00 AND a12_t > 0.00 AND a6_cc <= 0.00 AND a6_c <= 0.00 AND a8 > 0.17 AND a7_z <= 0.00 AND a6_q <= 0.00 AND a13_s <= 0.00 AND 28.46 < a2 <= 37.50 AND a6_x <= 0.00 AND a5_p <= 0.00;16;0.9628252788104089;0.0087;1.0;0.015822784810126583
39.83;0.5;0.25;0.0;288.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1;1;a9_f <= 1.00 AND a10_t <= 0.00 AND a6_m > 0.00 AND a8 <= 1.00 AND a15 <= 5.00 AND a3 <= 2.75 AND a11 <= 0.00 AND a2 > 28.46;8;0.9586466165413534;0.0103;1.0;0.0189873417721519
26.0;1.0;1.75;0.0;280.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0;0;a9_f <= 0.00 AND a8 > 1.00 AND a5_p <= 0.00 AND a3 <= 1.03 AND a12_f <= 0.00;5;1.0;0.0174;1.0;0.046218487394957986
53.92;9.625;8.665;5.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0;0;a9_f <= 0.00 AND a11 > 3.00 AND a15 <= 0.00;3;1.0;0.0412;1.0;0.09663865546218488
34.75;15.0;5.375;9.0;0.0;134.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0;0;a9_f <= 0.00 AND a11 > 3.00 AND a14 <= 80.00;3;0.9859943977591037;0.0853;0.9795918367346939;0.20168067226890757
16.5;0.125;0.165;0.0;132.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1;1;a9_f > 0.00 AND a2 <= 28.46;2;0.9764705882352941;0.2682;0.9671052631578947;0.4651898734177215
25.42;0.54;0.165;1.0;272.0;444.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1;1;a9_f > 0.00;1;0.9502923976608187;0.4883;0.9444444444444444;0.8069620253164557
16.25;0.0;0.25;0.0;60.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1;1;a9_f > 0.00;1;0.953757225433526;0.4949;0.9444444444444444;0.8069620253164557
31.83;2.5;7.5;0.0;523.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1;1;a9_f <= 1.00 AND a15 <= 5.00 AND a14 > 80.00 AND a6_aa > 0.00 AND a11 <= 0.00 AND a7_h <= 0.00 AND a3 <= 2.75 AND a2 <= 37.50 AND a8 > 2.55 AND a10_t <= 0.00 AND a7_v > 0.00;11;0.9532374100719424;0.0061;1.0;0.012658227848101266
