V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
5.392;2.6779;2.0;0.0;2.0;0.0;6.0;36.8;0.0;6.0;4.0;0.0;4.263999999999999;1.018;11.255;12.0;1.043;1.121;0.0;0.0;0.0;1.244;2.0;0.0;0.0;0.0;2.416;0.0;0.0;45.607;4.149;0.0;4.0;4.0;6.0;4.747;3.16;2.0;10.25;0.0;0.0;0;0;V36 > 3.72 AND V33 > 2.00;2;0.9780701754385965;0.1214;0.9803921568627451;0.17857142857142858
3.879;2.5951;0.0;0.0;0.0;0.0;0.0;31.0;2.0;0.0;0.0;0.0;2.908;2.281;8.743;0.0;0.96;1.143;0.0;0.0;0.0;1.202;0.0;0.0;0.0;0.0;1.902;0.036;0.0;0.0;3.685;0.0;0.0;0.0;0.0;2.924;1.611;0.0;7.029;0.0;0.0;1;1;V14 > 1.71 AND V36 <= 3.48 AND V1 <= 4.44 AND V38 <= 0.00 AND V9 > 1.00 AND V22 <= 1.24;6;0.9510869565217391;0.0306;0.9629629629629629;0.09090909090909091
3.879;2.8492;0.0;0.0;0.0;0.0;0.0;29.6;2.0;1.0;0.0;0.0;2.938;2.281;8.743;2.0;0.973;1.146;0.0;0.0;0.0;1.169;0.0;0.0;0.0;0.0;1.902;0.04;0.0;0.0;3.685;0.0;0.0;0.0;0.0;2.997;1.833;0.0;7.135;0.0;0.0;0;0;V14 > 0.88 AND V30 <= 0.00 AND V35 <= 0.00 AND V28 > -0.01 AND V20 <= 0.00 AND V4 <= 0.00 AND V19 <= 0.00 AND V37 <= 2.87;8;0.8283649503161699;0.0929;0.7647058823529411;0.11607142857142858
3.802;2.4475;0.0;0.0;0.0;0.0;0.0;30.4;2.0;0.0;0.0;0.0;2.661;1.95;8.394;0.0;0.96;1.144;0.0;0.0;0.0;1.195;0.0;0.0;0.0;0.0;1.848;0.108;0.0;0.0;2.885;0.0;0.0;0.0;0.0;2.881;1.643;0.0;6.7410000000000005;0.0;0.0;1;1;V33 <= 0.00 AND V36 <= 3.48 AND V38 <= 0.00 AND V14 > 1.71 AND V27 <= 2.26 AND V1 <= 4.44 AND V34 <= 0.00 AND V22 <= 1.24 AND V11 <= 0.00 AND V6 <= 0.00 AND V9 > 0.00 AND V13 <= 3.09;12;0.9681528662420382;0.0144;0.9285714285714286;0.045454545454545456
4.807;3.3155;1.0;0.0;0.0;0.0;3.0;43.8;1.0;1.0;0.0;0.0;3.297;0.8809999999999999;9.833;2.0;1.012;1.113;0.0;0.0;0.0;1.296;1.0;0.0;1.0;0.0;2.246;-0.025;0.0;0.0;1.06;0.0;2.0;0.0;1.0;3.921;2.568;0.0;8.562000000000001;0.0;1.0;0;0;V36 > 3.48 AND V25 > 0.00;2;0.9748031496062992;0.1529;0.9612403100775194;0.22142857142857142
4.993;2.2683;0.0;0.0;0.0;0.0;3.0;35.8;2.0;1.0;0.0;0.0;3.995;2.885;10.458;3.0;0.968;1.133;0.0;0.0;0.0;1.235;1.0;0.0;0.0;0.0;2.325;0.0;0.0;0.0;6.393;0.0;1.0;0.0;1.0;3.725;1.8;0.0;8.621;0.0;0.0;0;0;V36 > 3.72 AND V33 > 0.00 AND V17 <= 0.98;3;1.0;0.0359;1.0;0.0375
4.343;3.6524;0.0;0.0;0.0;0.0;0.0;31.3;1.0;3.0;0.0;-0.501;2.977;1.906;9.058;3.0;1.032;1.143;0.0;0.0;0.0;1.126;0.0;0.0;0.0;0.0;1.989;-0.089;0.0;10.119;2.682;0.0;0.0;0.0;1.0;3.423;3.2710000000000004;0.0;7.697;0.0;0.0;1;1;V1 <= 4.44 AND V36 <= 3.48 AND V12 <= -0.18;3;0.9653333333333334;0.0519;0.9523809523809523;0.13986013986013987
5.399;3.4164;0.0;0.0;0.0;1.0;4.0;38.7;5.0;1.0;0.0;0.0;3.424;1.084;10.644;4.0;0.977;1.127;0.0;0.0;0.0;1.271;1.0;0.0;0.0;0.0;2.403;-0.002;0.0;0.0;1.65;0.0;1.0;0.0;1.0;3.818;2.147;0.0;8.453;0.0;0.0;0;0;V36 > 3.72 AND V7 > 3.00;2;0.9654457498272287;0.1632;0.9703703703703703;0.23392857142857143
4.17;2.8042;0.0;0.0;0.0;0.0;0.0;23.1;2.0;2.0;0.0;0.0;2.449;0.971;8.597000000000001;1.0;1.015;1.16;0.0;0.0;0.0;1.044;0.0;0.0;0.0;0.0;1.848;0.391;0.0;0.0;1.5419999999999998;0.0;0.0;0.0;2.0;3.047;3.367;0.0;6.782;0.0;0.0;1;1;V23 <= 1.00 AND V36 <= 3.48 AND V16 > 0.00 AND V19 <= 0.00 AND V1 <= 4.44 AND V38 <= 0.00 AND V37 > 2.87;7;1.0;0.0235;1.0;0.07342657342657342
4.807;3.3499;2.0;0.0;1.0;0.0;3.0;42.9;0.0;0.0;2.0;0.0;3.4530000000000003;0.8809999999999999;9.833;0.0;1.029;1.117;0.0;0.0;0.0;1.334;1.0;0.0;1.0;0.0;2.246;-0.025;0.0;0.0;1.06;0.0;3.0;2.0;2.0;3.996;2.58;1.0;8.863;0.0;2.0;0;0;V36 > 3.72 AND V33 > 2.00;2;0.9854014598540146;0.1189;0.9803921568627451;0.17857142857142858
