V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
5.392;2.6779;2.0;0.0;2.0;0.0;6.0;36.8;0.0;6.0;4.0;0.0;4.263999999999999;1.018;11.255;12.0;1.043;1.121;0.0;0.0;0.0;1.244;2.0;0.0;0.0;0.0;2.416;0.0;0.0;45.607;4.149;0.0;4.0;4.0;6.0;4.747;3.16;2.0;10.25;0.0;0.0;0;0;V7 > 3.00;1;0.9625;0.1633;0.9712230215827338;0.2339688041594454
3.879;2.5951;0.0;0.0;0.0;0.0;0.0;31.0;2.0;0.0;0.0;0.0;2.908;2.281;8.743;0.0;0.96;1.143;0.0;0.0;0.0;1.202;0.0;0.0;0.0;0.0;1.902;0.036;0.0;0.0;3.685;0.0;0.0;0.0;0.0;2.924;1.611;0.0;7.029;0.0;0.0;1;1;V7 <= 1.00 AND V36 <= 3.48 AND V1 <= 4.44 AND V38 <= 0.00;4;0.9537843268586738;0.115;0.9607843137254902;0.3643122676579926
3.879;2.8492;0.0;0.0;0.0;0.0;0.0;29.6;2.0;1.0;0.0;0.0;2.938;2.281;8.743;2.0;0.973;1.146;0.0;0.0;0.0;1.169;0.0;0.0;0.0;0.0;1.902;0.04;0.0;0.0;3.685;0.0;0.0;0.0;0.0;2.997;1.833;0.0;7.135;0.0;0.0;0;1;V14 > 1.71 AND V39 <= 7.97 AND V38 <= 0.00 AND V15 <= 9.49;4;0.9947882736156352;0.0348;1.0;0.10780669144981413
3.802;2.4475;0.0;0.0;0.0;0.0;0.0;30.4;2.0;0.0;0.0;0.0;2.661;1.95;8.394;0.0;0.96;1.144;0.0;0.0;0.0;1.195;0.0;0.0;0.0;0.0;1.848;0.108;0.0;0.0;2.885;0.0;0.0;0.0;0.0;2.881;1.643;0.0;6.7410000000000005;0.0;0.0;1;1;V14 > 1.71 AND V39 <= 7.97 AND V38 <= 0.00 AND V15 <= 9.49;4;0.9907635467980296;0.037;1.0;0.10780669144981413
4.807;3.3155;1.0;0.0;0.0;0.0;3.0;43.8;1.0;1.0;0.0;0.0;3.297;0.8809999999999999;9.833;2.0;1.012;1.113;0.0;0.0;0.0;1.296;1.0;0.0;1.0;0.0;2.246;-0.025;0.0;0.0;1.06;0.0;2.0;0.0;1.0;3.921;2.568;0.0;8.562000000000001;0.0;1.0;0;0;V7 > 1.00 AND V25 > 0.00;2;0.9836065573770492;0.1147;1.0;0.1681109185441941
4.993;2.2683;0.0;0.0;0.0;0.0;3.0;35.8;2.0;1.0;0.0;0.0;3.995;2.885;10.458;3.0;0.968;1.133;0.0;0.0;0.0;1.235;1.0;0.0;0.0;0.0;2.325;0.0;0.0;0.0;6.393;0.0;1.0;0.0;1.0;3.725;1.8;0.0;8.621;0.0;0.0;0;0;V7 > 1.00 AND V37 <= 2.11;2;0.9555555555555556;0.1104;0.9764705882352941;0.1438474870017331
4.343;3.6524;0.0;0.0;0.0;0.0;0.0;31.3;1.0;3.0;0.0;-0.501;2.977;1.906;9.058;3.0;1.032;1.143;0.0;0.0;0.0;1.126;0.0;0.0;0.0;0.0;1.989;-0.089;0.0;10.119;2.682;0.0;0.0;0.0;1.0;3.423;3.2710000000000004;0.0;7.697;0.0;0.0;1;1;V14 > 1.71 AND V15 <= 9.49 AND V10 > 2.00;3;0.9696132596685083;0.0168;1.0;0.048327137546468404
5.399;3.4164;0.0;0.0;0.0;1.0;4.0;38.7;5.0;1.0;0.0;0.0;3.424;1.084;10.644;4.0;0.977;1.127;0.0;0.0;0.0;1.271;1.0;0.0;0.0;0.0;2.403;-0.002;0.0;0.0;1.65;0.0;1.0;0.0;1.0;3.818;2.147;0.0;8.453;0.0;0.0;0;0;V7 > 3.00;1;0.9812206572769953;0.16;0.9712230215827338;0.2339688041594454
4.17;2.8042;0.0;0.0;0.0;0.0;0.0;23.1;2.0;2.0;0.0;0.0;2.449;0.971;8.597000000000001;1.0;1.015;1.16;0.0;0.0;0.0;1.044;0.0;0.0;0.0;0.0;1.848;0.391;0.0;0.0;1.5419999999999998;0.0;0.0;0.0;2.0;3.047;3.367;0.0;6.782;0.0;0.0;1;1;V39 <= 7.97 AND V1 <= 4.44 AND V16 > 0.00 AND V38 <= 0.00;4;0.9816124469589816;0.0529;1.0;0.18587360594795538
4.807;3.3499;2.0;0.0;1.0;0.0;3.0;42.9;0.0;0.0;2.0;0.0;3.4530000000000003;0.8809999999999999;9.833;0.0;1.029;1.117;0.0;0.0;0.0;1.334;1.0;0.0;1.0;0.0;2.246;-0.025;0.0;0.0;1.06;0.0;3.0;2.0;2.0;3.996;2.58;1.0;8.863;0.0;2.0;0;0;V3 > 1.00 AND V33 > 2.00;2;1.0;0.0764;1.0;0.11438474870017332
3.732;2.4553;2.0;0.0;0.0;0.0;0.0;28.6;2.0;0.0;0.0;0.0;3.09;1.585;8.16;0.0;1.005;1.14;0.0;0.0;0.0;1.258;0.0;0.0;1.0;0.0;1.802;-0.211;0.0;0.0;2.488;0.0;0.0;0.0;0.0;3.5780000000000003;2.37;0.0;8.315;0.0;2.0;0;0;V3 > 1.00 AND V25 > 0.00;2;1.0;0.1063;1.0;0.15771230502599654
