region_centroid_col;region_centroid_row;region_pixel_count;short_line_density_5;short_line_density_2;vedge_mean;vegde_sd;hedge_mean;hedge_sd;intensity_mean;rawred_mean;rawblue_mean;rawgreen_mean;exred_mean;exblue_mean;exgreen_mean;value_mean;saturation_mean;hue_mean;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
25.0;18.0;9.0;0.0;0.0;0.666665;0.0888892;0.555553;0.385184;114.148;102.444;132.333;107.667;-35.1111;54.5556;-19.4444;132.333;0.225725;-2.27845;5;5;rawblue_mean > 65.50 AND rawgreen_mean > 46.78 AND hue_mean <= -2.19 AND rawred_mean > 47.69;4;0.9942418426103646;0.1347;0.988;0.9080882352941176
170.0;121.0;9.0;0.0;0.0;2.16667;1.83485;2.72222;1.92546;32.3704;28.6667;40.5556;27.8889;-11.1111;24.5556;-13.4444;40.5556;0.313427;-2.02427;1;1;rawgreen_mean > 20.44 AND region_centroid_row <= 122.00 AND hue_mean > -2.05 AND rawblue_mean > 28.11 AND -18.78 < exred_mean <= -4.22 AND exblue_mean > 3.89 AND intensity_mean <= 53.68 AND -17.00 < exgreen_mean <= -3.22 AND rawred_mean <= 47.69 AND vedge_mean <= 2.17 AND hedge_sd <= 2.16;11;0.9546436285097192;0.0063;1.0;0.04780876494023904
197.0;236.0;9.0;0.0;0.0;2.44444;6.82963;3.33333;7.6;16.0741;13.1111;16.6667;18.4444;-8.88889;1.77778;7.11111;18.5556;0.292729;2.7898;3;3;region_centroid_row > 176.00 AND exblue_mean <= 3.89;2;0.9888888888888889;0.1205;1.0;0.825925925925926
152.0;18.0;9.0;0.0;0.0;0.777777;0.455422;0.555557;0.272164;112.111;97.2222;130.444;108.667;-44.6667;55.0;-10.3333;130.444;0.254668;-2.45498;5;5;value_mean > 65.50 AND rawgreen_mean > 46.78 AND hue_mean <= -2.19 AND exblue_mean > 36.14;4;0.9911699779249448;0.1112;1.0;0.7904411764705882
40.0;95.0;9.0;0.0;0.111111;1.27778;1.57407;1.61111;1.21852;4.62963;1.0;9.22222;3.66667;-10.8889;13.7778;-2.88889;9.22222;0.907099;-2.42945;2;2;exgreen_mean > -3.22 AND region_centroid_row <= 122.00 AND saturation_mean > 0.28 AND exred_mean <= -10.89 AND rawred_mean <= 47.69;5;1.0;0.0063;1.0;0.04417670682730924
81.0;145.0;9.0;0.0;0.111111;4.55556;4.53464;7.5;6.11283;13.4444;9.88889;20.1111;10.3333;-10.6667;20.0;-9.33333;20.1111;0.532728;-2.06232;2;1;6.22 < rawgreen_mean <= 20.44 AND 122.00 < region_centroid_row <= 176.00 AND -2.19 < hue_mean <= -2.05 AND region_pixel_count <= 9.00 AND exblue_mean > 19.67 AND intensity_mean <= 53.68 AND rawblue_mean <= 65.50 AND -18.78 < exred_mean <= -4.22 AND 7.08 < rawred_mean <= 19.78 AND -17.00 < exgreen_mean <= -3.22 AND saturation_mean > 0.37 AND value_mean <= 28.78 AND vedge_mean > 2.17 AND region_centroid_col <= 121.00;14;0.9515570934256056;0.0016;1.0;0.01593625498007968
45.0;111.0;9.0;0.0;0.0;0.5;0.349603;1.0;0.78881;16.1111;12.2222;23.7778;12.3333;-11.6667;23.0;-11.3333;23.7778;0.489897;-2.10067;6;6;region_centroid_row <= 122.00 AND vedge_mean <= 0.71 AND rawred_mean <= 19.78 AND -2.19 < hue_mean <= -2.05 AND vegde_sd <= 0.35 AND rawgreen_mean <= 20.44 AND hedge_mean <= 2.61 AND hedge_sd <= 1.00 AND intensity_mean <= 21.91 AND rawblue_mean <= 28.11 AND short_line_density_2 <= 0.00 AND 19.67 < exblue_mean <= 36.14 AND exred_mean > -18.78 AND value_mean <= 28.78 AND exgreen_mean > -17.00 AND saturation_mean <= 0.54;16;0.9849624060150376;0.0035;1.0;0.022641509433962263
58.0;109.0;9.0;0.0;0.0;0.888889;0.251852;2.83333;1.67778;4.2963;1.44444;8.44444;3.0;-8.55556;12.4444;-3.88889;8.44444;0.864482;-2.28379;2;2;rawblue_mean <= 9.44 AND saturation_mean > 0.54 AND hedge_mean > 2.61;3;0.9779005524861878;0.0087;0.8235294117647058;0.05622489959839357
13.0;191.0;9.0;0.0;0.0;3.55556;5.40741;7.77778;40.0296;25.2963;23.5556;29.8889;22.4444;-5.22222;13.7778;-8.55556;30.1111;0.237113;-1.85826;4;4;region_centroid_row > 176.00 AND rawblue_mean > 28.11 AND exred_mean > -10.89;3;0.9927536231884058;0.0172;1.0;0.12915129151291513
137.0;94.0;9.0;0.222222;0.0;1.66667;0.8;3.66667;2.88889;21.2222;20.6667;27.3333;15.6667;-1.66667;18.3333;-16.6667;27.3333;0.427811;-1.62715;0;0;exgreen_mean <= -11.00 AND exred_mean > -4.22 AND region_centroid_row <= 176.00;3;0.9557266602502407;0.067;0.943089430894309;0.4187725631768953
