compactness;circularity;distance_circularity;radius_ratio;pr_axis_aspect_ratio;max_length_aspect_ratio;scatter_ratio;elongatedness;pr_axis_rectangularity;max_length_rectangularity;scaled_variance_major;scaled_variance_minor;scaled_radius_of_gyration;skewness_about_major;skewness_about_minor;kurtosis_about_major;kurtosis_about_minor;hollows_ratio;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
90.0;47.0;85.0;161.0;64.0;10.0;163.0;42.0;20.0;160.0;177.0;389.0;185.0;73.0;9.0;0.0;185.0;195.0;3;3;max_length_rectangularity > 146.00 AND scaled_variance_major <= 178.00 AND max_length_aspect_ratio > 8.00;3;0.9688888888888889;0.093;1.0;0.37888198757763975
102.0;52.0;101.0;213.0;64.0;10.0;203.0;33.0;23.0;157.0;214.0;616.0;186.0;65.0;0.0;19.0;193.0;203.0;1;1;radius_ratio > 196.00 AND pr_axis_aspect_ratio <= 65.00 AND max_length_aspect_ratio <= 10.00 AND scaled_variance_minor > 584.50 AND scaled_variance_major <= 217.00;5;0.9607843137254902;0.0055;0.4;0.011235955056179775
105.0;53.0;108.0;206.0;63.0;12.0;222.0;31.0;25.0;168.0;226.0;712.0;201.0;71.0;15.0;35.0;189.0;203.0;2;2;scatter_ratio > 197.25 AND kurtosis_about_major > 19.00 AND radius_ratio > 196.00 AND hollows_ratio > 201.00 AND 61.00 < pr_axis_aspect_ratio <= 65.00 AND skewness_about_major <= 71.00 AND skewness_about_minor > 9.00 AND kurtosis_about_minor <= 189.00;8;0.9273127753303965;0.0023;1.0;0.01744186046511628
115.0;52.0;100.0;203.0;62.0;10.0;217.0;31.0;24.0;165.0;229.0;697.0;214.0;72.0;14.0;4.0;188.0;197.0;2;2;scaled_radius_of_gyration > 198.00 AND skewness_about_minor > 9.00 AND radius_ratio > 196.00 AND 61.00 < pr_axis_aspect_ratio <= 65.00 AND compactness > 100.00 AND kurtosis_about_major <= 6.00 AND max_length_aspect_ratio <= 10.00 AND skewness_about_major <= 75.00;8;0.928374655647383;0.0017;1.0;0.011627906976744186
109.0;55.0;96.0;191.0;57.0;6.0;241.0;28.0;26.0;170.0;267.0;857.0;242.0;85.0;8.0;9.0;184.0;184.0;0;0;elongatedness <= 33.00 AND max_length_aspect_ratio <= 7.00;2;0.9728395061728395;0.0402;1.0;0.17159763313609466
91.0;35.0;66.0;159.0;59.0;7.0;147.0;45.0;19.0;131.0;169.0;322.0;123.0;64.0;1.0;1.0;197.0;203.0;1;2;circularity <= 40.00 AND skewness_about_major <= 67.00 AND 319.00 < scaled_variance_minor <= 365.00 AND pr_axis_aspect_ratio <= 61.00 AND kurtosis_about_major <= 11.00 AND compactness > 87.00 AND 167.00 < scaled_variance_major <= 178.00 AND kurtosis_about_minor > 189.00 AND hollows_ratio > 201.00 AND radius_ratio > 141.00 AND pr_axis_rectangularity <= 19.00 AND 43.00 < elongatedness <= 46.00 AND max_length_rectangularity <= 146.00 AND max_length_aspect_ratio <= 10.00;14;0.8977695167286245;0.0021;1.0;0.011627906976744186
98.0;58.0;101.0;208.0;65.0;12.0;226.0;30.0;25.0;182.0;225.0;748.0;216.0;71.0;6.0;1.0;185.0;196.0;1;1;radius_ratio > 196.00 AND pr_axis_aspect_ratio <= 65.00 AND hollows_ratio <= 197.00 AND scaled_variance_minor > 584.50 AND compactness <= 100.00 AND skewness_about_major <= 71.00;6;0.9601328903654485;0.0025;1.0;0.016853932584269662
96.0;37.0;74.0;187.0;68.0;8.0;159.0;42.0;20.0;134.0;183.0;378.0;134.0;69.0;3.0;16.0;190.0;197.0;2;2;circularity <= 40.00 AND scaled_variance_major > 178.00 AND max_length_aspect_ratio > 7.00 AND skewness_about_major <= 71.00;4;0.9560878243512974;0.0272;0.55;0.06395348837209303
88.0;35.0;60.0;143.0;59.0;7.0;128.0;52.0;18.0;129.0;147.0;246.0;109.0;62.0;1.0;6.0;202.0;209.0;3;3;scaled_variance_minor <= 319.00 AND scaled_variance_major <= 167.00 AND compactness > 87.00 AND kurtosis_about_major <= 6.00 AND radius_ratio <= 168.00 AND scaled_radius_of_gyration <= 148.75 AND pr_axis_aspect_ratio > 57.00 AND hollows_ratio > 201.00 AND skewness_about_minor <= 2.00;9;0.9315068493150684;0.0013;1.0;0.012422360248447204
86.0;38.0;76.0;143.0;59.0;8.0;142.0;47.0;18.0;131.0;167.0;301.0;138.0;71.0;5.0;10.0;189.0;196.0;3;3;scaled_variance_minor <= 319.00 AND scaled_variance_major <= 178.00 AND max_length_aspect_ratio > 7.00 AND kurtosis_about_major <= 11.00 AND pr_axis_aspect_ratio > 57.00 AND kurtosis_about_minor <= 189.00;6;0.9872340425531915;0.0064;1.0;0.037267080745341616
84.0;43.0;70.0;123.0;54.0;8.0;151.0;45.0;19.0;146.0;173.0;332.0;176.0;81.0;1.0;12.0;181.0;184.0;0;0;radius_ratio <= 141.00 AND scatter_ratio > 147.00 AND 7.00 < max_length_aspect_ratio <= 8.00 AND skewness_about_minor <= 9.00 AND kurtosis_about_major > 6.00 AND scaled_variance_minor > 319.00 AND elongatedness <= 46.00 AND scaled_variance_major > 167.00 AND distance_circularity <= 98.00 AND max_length_rectangularity <= 146.00 AND pr_axis_rectangularity <= 23.00 AND hollows_ratio <= 191.00 AND scaled_radius_of_gyration > 174.00;13;0.9612403100775194;0.0072;1.0;0.03550295857988166
89.0;44.0;68.0;113.0;50.0;7.0;150.0;45.0;19.0;147.0;171.0;328.0;189.0;88.0;6.0;5.0;179.0;182.0;0;0;radius_ratio <= 141.00 AND scaled_radius_of_gyration > 174.00 AND scaled_variance_minor > 319.00 AND scaled_variance_major > 167.00 AND max_length_aspect_ratio <= 7.00 AND compactness > 87.00;6;0.9948186528497409;0.0008;1.0;0.011834319526627219
90.0;43.0;72.0;172.0;59.0;8.0;154.0;42.0;19.0;144.0;174.0;360.0;158.0;61.0;15.0;9.0;203.0;209.0;2;1;radius_ratio > 168.00 AND pr_axis_aspect_ratio <= 61.00 AND pr_axis_rectangularity <= 19.00 AND max_length_aspect_ratio <= 8.00 AND compactness <= 93.00 AND circularity > 40.00;6;0.9701986754966887;0.0026;1.0;0.016853932584269662
80.0;39.0;60.0;122.0;56.0;6.0;139.0;49.0;18.0;131.0;151.0;281.0;142.0;80.0;0.0;5.0;179.0;186.0;1;1;pr_axis_aspect_ratio <= 57.00 AND max_length_rectangularity <= 136.00 AND compactness <= 87.00 AND skewness_about_minor <= 2.00 AND kurtosis_about_major <= 6.00;5;0.8755244755244755;0.0044;1.0;0.02247191011235955
94.0;39.0;75.0;184.0;72.0;8.0;155.0;42.0;19.0;133.0;175.0;365.0;145.0;70.0;4.0;5.0;192.0;200.0;0;0;kurtosis_about_minor > 189.00 AND skewness_about_major > 67.00 AND max_length_aspect_ratio <= 8.00 AND scaled_variance_major <= 178.00 AND scatter_ratio > 147.00;5;0.9705882352941176;0.0166;0.9166666666666666;0.0650887573964497
91.0;42.0;66.0;142.0;58.0;9.0;134.0;50.0;18.0;142.0;163.0;268.0;164.0;69.0;6.0;5.0;191.0;197.0;3;3;scaled_variance_minor <= 319.00 AND max_length_aspect_ratio > 8.00 AND scaled_variance_major <= 178.00;3;0.9526226734348562;0.0268;0.9;0.11180124223602485
100.0;43.0;92.0;197.0;62.0;10.0;180.0;36.0;21.0;143.0;200.0;489.0;153.0;64.0;6.0;9.0;195.0;205.0;2;2;scaled_radius_of_gyration > 148.75 AND skewness_about_major <= 67.00 AND circularity <= 44.00 AND pr_axis_rectangularity > 20.00 AND max_length_aspect_ratio > 8.00 AND compactness > 93.00;6;0.9724264705882353;0.0059;0.8;0.023255813953488372
86.0;37.0;69.0;150.0;63.0;8.0;138.0;48.0;18.0;134.0;163.0;284.0;124.0;71.0;1.0;6.0;189.0;195.0;3;3;scaled_variance_minor <= 319.00 AND scaled_variance_major <= 178.00 AND max_length_aspect_ratio > 7.00 AND pr_axis_aspect_ratio > 61.00 AND hollows_ratio > 191.00;5;0.9571428571428572;0.0398;1.0;0.17391304347826086
