compactness;circularity;distance_circularity;radius_ratio;pr_axis_aspect_ratio;max_length_aspect_ratio;scatter_ratio;elongatedness;pr_axis_rectangularity;max_length_rectangularity;scaled_variance_major;scaled_variance_minor;scaled_radius_of_gyration;skewness_about_major;skewness_about_minor;kurtosis_about_major;kurtosis_about_minor;hollows_ratio;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
90.0;47.0;85.0;161.0;64.0;10.0;163.0;42.0;20.0;160.0;177.0;389.0;185.0;73.0;9.0;0.0;185.0;195.0;3;3;elongatedness > 33.00 AND max_length_aspect_ratio > 8.00 AND scaled_variance_major <= 178.00 AND max_length_rectangularity > 146.00 AND pr_axis_rectangularity > 19.00 AND skewness_about_major > 71.00 AND kurtosis_about_major <= 6.00;7;0.9846153846153847;0.0116;1.0;0.05521472392638037
102.0;52.0;101.0;213.0;64.0;10.0;203.0;33.0;23.0;157.0;214.0;616.0;186.0;65.0;0.0;19.0;193.0;203.0;1;1;scaled_variance_minor > 584.50 AND distance_circularity > 98.00 AND skewness_about_major <= 67.00 AND scatter_ratio > 197.25 AND pr_axis_aspect_ratio <= 65.00 AND scaled_radius_of_gyration <= 198.00 AND elongatedness <= 33.00 AND max_length_aspect_ratio > 7.00;8;0.9521531100478469;0.0179;1.0;0.07567567567567568
105.0;53.0;108.0;206.0;63.0;12.0;222.0;31.0;25.0;168.0;226.0;712.0;201.0;71.0;15.0;35.0;189.0;203.0;2;2;elongatedness <= 33.00 AND skewness_about_major <= 71.00 AND compactness > 100.00 AND skewness_about_minor > 9.00 AND max_length_aspect_ratio > 10.00 AND hollows_ratio > 201.00 AND kurtosis_about_minor <= 189.00 AND pr_axis_aspect_ratio > 57.00;8;0.952513966480447;0.004;1.0;0.024390243902439025
115.0;52.0;100.0;203.0;62.0;10.0;217.0;31.0;24.0;165.0;229.0;697.0;214.0;72.0;14.0;4.0;188.0;197.0;2;2;elongatedness <= 33.00 AND skewness_about_minor > 9.00 AND compactness > 100.00 AND max_length_aspect_ratio > 8.00 AND radius_ratio > 196.00 AND hollows_ratio > 191.00 AND 61.00 < pr_axis_aspect_ratio <= 65.00 AND scaled_radius_of_gyration > 198.00 AND skewness_about_major <= 75.00 AND pr_axis_rectangularity > 23.00;10;0.9532467532467532;0.0122;1.0;0.06097560975609756
109.0;55.0;96.0;191.0;57.0;6.0;241.0;28.0;26.0;170.0;267.0;857.0;242.0;85.0;8.0;9.0;184.0;184.0;0;0;max_length_aspect_ratio <= 7.00 AND skewness_about_major > 75.00 AND radius_ratio > 168.00;3;1.0;0.0299;1.0;0.13095238095238096
91.0;35.0;66.0;159.0;59.0;7.0;147.0;45.0;19.0;131.0;169.0;322.0;123.0;64.0;1.0;1.0;197.0;203.0;1;1;compactness <= 93.00 AND skewness_about_major <= 67.00 AND 167.00 < scaled_variance_major <= 178.00 AND 57.00 < pr_axis_aspect_ratio <= 61.00 AND kurtosis_about_minor > 193.25 AND 141.00 < radius_ratio <= 168.00 AND hollows_ratio > 197.00 AND scaled_radius_of_gyration <= 198.00 AND scaled_variance_minor > 319.00 AND elongatedness <= 46.00 AND pr_axis_rectangularity <= 23.00 AND max_length_aspect_ratio <= 8.00 AND kurtosis_about_major <= 6.00 AND max_length_rectangularity <= 136.00;14;0.8923679060665362;0.0012;1.0;0.010810810810810811
98.0;58.0;101.0;208.0;65.0;12.0;226.0;30.0;25.0;182.0;225.0;748.0;216.0;71.0;6.0;1.0;185.0;196.0;1;1;scaled_variance_minor > 584.50 AND distance_circularity > 98.00 AND compactness <= 100.00 AND elongatedness <= 33.00 AND max_length_aspect_ratio > 8.00 AND pr_axis_rectangularity > 23.00 AND hollows_ratio <= 197.00;7;0.9635036496350365;0.0174;0.9166666666666666;0.05945945945945946
96.0;37.0;74.0;187.0;68.0;8.0;159.0;42.0;20.0;134.0;183.0;378.0;134.0;69.0;3.0;16.0;190.0;197.0;2;2;max_length_rectangularity <= 136.00 AND max_length_aspect_ratio > 7.00 AND scaled_variance_minor > 365.00 AND elongatedness > 33.00 AND compactness > 87.00 AND pr_axis_aspect_ratio > 57.00 AND 6.00 < kurtosis_about_major <= 19.00 AND skewness_about_minor <= 9.00;8;0.9757785467128027;0.0087;1.0;0.042682926829268296
88.0;35.0;60.0;143.0;59.0;7.0;128.0;52.0;18.0;129.0;147.0;246.0;109.0;62.0;1.0;6.0;202.0;209.0;3;3;elongatedness > 46.00 AND scaled_variance_minor <= 319.00 AND 87.00 < compactness <= 93.00 AND kurtosis_about_major <= 6.00 AND scatter_ratio <= 147.00 AND 57.00 < pr_axis_aspect_ratio <= 61.00 AND hollows_ratio > 201.00 AND scaled_variance_major <= 167.00 AND 141.00 < radius_ratio <= 168.00 AND pr_axis_rectangularity <= 20.00 AND kurtosis_about_minor > 193.25 AND distance_circularity <= 70.00 AND skewness_about_major <= 75.00;13;0.9583333333333334;0.0064;0.8333333333333334;0.03067484662576687
86.0;38.0;76.0;143.0;59.0;8.0;142.0;47.0;18.0;131.0;167.0;301.0;138.0;71.0;5.0;10.0;189.0;196.0;3;3;elongatedness > 46.00 AND max_length_aspect_ratio > 7.00 AND hollows_ratio > 191.00 AND radius_ratio <= 168.00 AND kurtosis_about_major <= 11.00 AND scaled_variance_major <= 178.00;6;0.9818731117824774;0.0268;1.0;0.1165644171779141
