V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;target;prediction;anchor_rule;anchor_rule_len;anchor_precision;anchor_coverage;anchor_precision_correct;anchor_coverage_correct
0.826;0.858;1.659;1.634;1.628;1.634;1.662;1.679;3.027;2.9210000000000003;2.908;5.0;5.0;5.0;0.795;0.654;0.632;0.638;0.6609999999999999;0.685;0.8220000000000001;0.8059999999999999;0.797;0.804;1;1;V15 <= 0.86;1;1.0;0.2435;1.0;0.6503537735849056
1.161;5.0;1.731;1.741;1.651;3.153;5.0;3.95;5.0;5.0;1.784;1.763;1.702;1.04;5.0;0.601;0.5329999999999999;0.534;0.5589999999999999;0.575;0.969;1.356;1.154;1.149;0;0;V15 > 4.42 AND V5 <= 1.77 AND V16 <= 0.69;3;0.9695238095238096;0.0462;1.0;0.1183533447684391
0.966;0.995;1.958;1.68;1.675;1.692;5.0;1.733;2.918;2.7710000000000004;2.758;2.7710000000000004;5.0;5.0;5.0;0.601;0.59;0.597;0.621;5.0;0.954;0.94;0.931;0.943;0;0;V15 > 1.32 AND V13 > 2.37 AND V16 <= 0.69 AND V6 <= 1.78;4;1.0;0.0296;1.0;0.07432818753573471
1.361;1.3030000000000002;2.988;4.781000000000001;4.22;5.0;5.0;2.4330000000000003;2.449;1.7080000000000002;1.734;0.895;0.8490000000000001;0.805;0.8170000000000001;0.8420000000000001;0.871;0.523;0.523;0.516;0.539;0.723;5.0;5.0;1;1;V15 <= 0.86;1;1.0;0.25;1.0;0.6503537735849056
1.143;3.979;5.0;2.814;2.795;2.369;2.446;1.757;5.0;1.021;1.005;1.007;1.0490000000000002;1.245;0.862;0.627;0.61;0.629;0.65;5.0;1.033;5.0;1.109;1.155;1;1;V15 <= 1.32 AND V13 <= 1.19 AND V12 <= 1.70 AND V16 <= 0.69 AND V11 <= 1.58;5;0.9862385321100917;0.0332;0.9726027397260274;0.08372641509433962
1.558;1.5490000000000002;1.5590000000000002;1.581;2.026;1.506;3.2510000000000003;3.189;5.0;3.761;5.0;2.087;1.425;1.414;1.423;1.031;0.728;0.537;0.51;0.504;0.511;5.0;0.8490000000000001;1.279;0;0;V15 > 1.32 AND V24 <= 1.28 AND V6 <= 1.78 AND V17 <= 0.74;4;1.0;0.0587;1.0;0.15037164093767869
1.806;5.0;5.0;4.236000000000001;5.0;5.0;1.875;2.0540000000000003;1.7619999999999998;2.5860000000000003;1.72;1.7080000000000002;1.717;1.756;0.752;0.507;0.4679999999999999;0.46;0.465;0.487;0.513;1.071;1.072;1.749;1;1;V15 <= 0.86;1;1.0;0.2441;1.0;0.6503537735849056
1.4069999999999998;1.41;1.423;5.0;1.482;2.66;3.282;3.283;5.0;5.0;5.0;0.8640000000000001;0.85;0.836;1.05;1.046;0.472;0.444;0.433;0.428;0.4379999999999999;0.4679999999999999;0.797;1.4240000000000002;1;1;V14 <= 1.01 AND V13 <= 1.19;2;0.9507772020725389;0.1845;0.8735777496839444;0.4074292452830189
0.449;0.472;1.483;1.456;1.4480000000000002;1.453;1.492;1.499;2.696;3.306;3.3;5.0;3.924;5.0;5.0;0.8109999999999999;0.792;0.812;0.846;1.013;0.442;0.418;0.411;0.418;0;0;V15 > 4.42 AND V24 <= 0.88 AND V20 > 0.86;3;0.9897959183673469;0.0243;0.9921875;0.07261292166952545
1.426;1.446;1.474;2.603;2.62;3.22;5.0;5.0;5.0;5.0;0.843;0.8340000000000001;0.846;0.872;1.113;0.528;0.502;0.497;0.505;3.285;0.573;1.526;1.426;1.418;1;1;V14 <= 1.01 AND V3 <= 1.53 AND V15 <= 1.32 AND V22 <= 2.06;4;0.9706959706959707;0.0491;0.9908256880733946;0.12735849056603774
1.227;1.801;1.786;1.796;1.816;3.177;5.0;3.94;5.0;5.0;1.765;1.715;1.639;0.992;5.0;0.604;0.531;0.526;0.546;0.565;1.008;1.408;1.224;1.215;0;0;V15 > 4.42 AND V24 <= 1.28 AND V20 > 0.54 AND V16 <= 0.69;4;0.9725568942436412;0.0672;1.0;0.17381360777587193
2.664;3.748;2.622;2.608;2.517;2.399;1.7819999999999998;1.252;1.229;1.215;1.275;1.42;1.523;1.536;0.809;0.7979999999999999;0.807;0.83;0.991;0.986;0.905;0.892;0.952;4.431;1;1;V15 <= 0.86;1;1.0;0.2542;1.0;0.6503537735849056
